"genus_species","Tpref","ref_Tpref","ref_from_ref","notes_Tpref","limit_type"
"Rana_cascadae","16","Wollmuth_et_al_1986","","","max, min"
"Philoria_loveridgei","15.4","Lopez_2015","","","max"
"Desmognathus_ochrophaeus","17.4","Spotila_1972","","","max"
"Desmognathus_quadramaculatus","13.6","Fontenot_and_Lutterschmidt_2011","Sievert and Andreadis 2002","","max"
"Eurycea_longicauda","21.7","Spotila_1972","","","max"
"Eurycea_lucifuga","19.3","Fontenot_and_Lutterschmidt_2011","Sievert and Andreadis 2002","","max"
"Eurycea_multiplicata","18.8","Spotila_1972","","","max"
"Cophixalus_aenigma","23","Merino-Viteri_2018","","","max"
"Cophixalus_bombiens","27.5","Merino-Viteri_2018","","","max"
"Cophixalus_exiguus","27.4","Merino-Viteri_2018","","","max"
"Cophixalus_hosmeri","22.2","Merino-Viteri_2018","","","max"
"Cophixalus_mcdonaldi","26.9","Merino-Viteri_2018","","","max"
"Cophixalus_neglectus","24.6","Merino-Viteri_2018","","","max"
"Hyla_caerulea","30.7","Tracy_and_Christian_2005","","","max"
"Gopherus_agassizii","26.6","Spotila_et_al_1994","","hatchlings","max"
"Anolis_cooki","30.6","Huey_and_Webster_1976","","","max, min"
"Austrelaps_superbus","32.8","Lillywhite_1980","","","max, min"
"Bassiana_duperreyi","34.23","Du_et_al_2010","","hatchlings","max, min"
"Acanthodactylus_erythrurus","37.15","Bauwens_and_Garland_1995","","median Tb","max"
"Acontias_meleagris","28.1","Withers_1981","","","max"
"Chamaeleo_dilepis","32.8","Bennett_2014","","","max, min"
"Chamaeleo_jacksonii","32.1","Bennett_2014","","","max, min"
"Coleonyx_brevis","31.8","Dial_and_Grismer_1992","","","max, min"
"Cophosaurus_texanus","37.9","Sartorius_2002","","","max, min"
"Cordylus_cordylus","32.1","Clusella-Trullas_et_al_2007","","","max, min"
"Cordylus_niger","32.6","Clusella-Trullas_et_al_2007","","","max, min"
"Ctenophorus_decresii","35.9","Walker_et_al_2015","","","max, min"
"Ctenotus_regius","35.6","Bennett_and_John-Alder_1986","","","max, min"
"Ctenotus_taeniolatus","35.3","Bennett_and_John-Alder_1986","","","max, min"
"Ctenotus_uber","35.3","Bennett_and_John-Alder_1986","","","max, min"
"Charina_bottae","27.4","Dorcas_and_Peterson_1997","","","max"
"Egernia_striolata","32.7","Bennett_and_John-Alder_1986","","","max, min"
"Ctenophorus_nuchalis","36.4","Bradshaw_1988","Licht et al. 1996","","max"
"Ctenotus_pantherinus","36.1","Gordon_et_al_2010","","","max"
