"Genus","Species","type","thermal_limit","metric","collection_latitude","absolute_latitude","collection_longitude","elevation","acclimation_temperature","start_temp","ramping_rate","exposure_duration","Phylum","Class","Order","Family","realm","thermy","genus_species","reference","extreme_enviro_temp","acclimation_offset","acc_name","ARR_equ_slope","ARR_equ_int"
"Acanthodactylus","erythrurus","max",46.3,"ct",36.97,36.97,-2.4,585,35,32.5,1,NA,"Chordata","Lepidosauria","Squamata","Lacertidae","Terrestrial","ectotherm","Acanthodactylus_erythrurus","Bauwens_et_al_1995",31.66473579,3.33526421,NA,0.280388760584549,36.4863933795408
"Acar","domingensis","max",39,"ct",-7.89,7.89,-14.38,0,26,26.1,0.017,NA,"Mollusca","Bivalvia","Arcoida","Arcidae","Marine","ectotherm","Acar_domingensis","Morley_et_al_2016",29.18999863,-3.18999863,NA,0.280388760584549,31.7098922248017
"Acris","crepitans","min",-1,"LT50",29.95,29.95,NA,304.8,23,NA,NA,24,"Chordata","Amphibia","Anura","Hylidae","Terrestrial","ectotherm","Acris_crepitans","Brattstrom_1968",NA,NA,NA,0.170907369055759,-4.93086948828246
"Adelotus","brevis","max",31.2,"ct",-33.43,33.43,151.35,304.8,5,20,1,NA,"Chordata","Amphibia","Anura","Myobatrachidae","Terrestrial","ectotherm","Adelotus_brevis","Brattstrom_1970",25.52132607,-20.52132607,NA,0.280388760584549,29.7980561970773
"Agroeca","proxima","max",37.4,"ct",55.4,55.4,14.19,3,15,15,0.5,NA,"Arthropoda","Arachnida","Araneae","Liocranidae","Terrestrial","ectotherm","Agroeca_proxima","Almquist_1970",20.58191681,-5.58191681,NA,0.280388760584549,33.1941685912318
"Agroeca","proxima","min",-6.7,"LT50",55.4,55.4,14.19,3,4,0.02,NA,72,"Arthropoda","Arachnida","Araneae","Liocranidae","Terrestrial","ectotherm","Agroeca_proxima","Almquist_1970",-1.632228255,5.632228255,NA,0.170907369055759,-7.38362947622304
"Ambystoma","jeffersonianum","max",34,"ct",40.23,40.23,-76.85,422.2,10,10,NA,NA,"Chordata","Amphibia","Caudata","Ambystomatidae","Terrestrial","ectotherm","Ambystoma_jeffersonianum","Gatz_1971",30.18464661,-20.18464661,NA,0.280388760584549,31.1961123941545
"Ambystoma","macrodactylum","max",35,"ct",44.9,44.9,-117.22,1140,20,20,0.5,NA,"Chordata","Amphibia","Caudata","Ambystomatidae","Terrestrial","ectotherm","Ambystoma_macrodactylum","Howard_et_al_1983",29.84904861,-9.84904861,NA,0.280388760584549,29.392224788309
"Ambystoma","maculatum","max",38.4,"ct",35.55,35.55,-91.62,184,15,15,NA,NA,"Chordata","Amphibia","Caudata","Ambystomatidae","Terrestrial","ectotherm","Ambystoma_maculatum","Sealander_1969",33.84846115,-18.84846115,NA,0.280388760584549,34.1941685912318
"Anaxyrus","compactilis","max",36.9,"ct",22,22,-102,1524,30,23,1,NA,"Chordata","Amphibia","Anura","Bufonidae","Terrestrial","ectotherm","Anaxyrus_compactilis","Brattstrom_1968",29.8943119,0.1056881,NA,0.280388760584549,28.4883371824635
"Anodontia","bullula","max",36.31,"LT50",-17,17,122,0,25,NA,NA,24,"Mollusca","Bivalvia","Lucinoida","Lucinidae","Intertidal","ectotherm","Anodontia_bullula","Compton_et_al2007",31.47999954,-6.47999954,NA,0.280388760584549,29.3002809853863
"Anodontia","bullula","min",7.17,"LT50",-17,17,122,0,25,NA,NA,24,"Mollusca","Bivalvia","Lucinoida","Lucinidae","Intertidal","ectotherm","Anodontia_bullula","Compton_et_al2007",23.37999916,1.62000084,NA,0.170907369055759,2.89731577360602
"Anolis","cybotes","max",40.1,"ct",18.18,18.18,-71.07,5,31.4,NA,NA,NA,"Chordata","Lepidosauria","Squamata","Iguanidae","Terrestrial","ectotherm","Anolis_cybotes","Hertz_&_Huey_1981",31.87837982,-0.47837982,NA,0.280388760584549,31.2957929176452
"Anolis","distichus","max",38.6,"ct",25.77,25.77,-80.19,0,20,20,NA,NA,"Chordata","Lepidosauria","Squamata","Iguanidae","Terrestrial","ectotherm","Anolis_distichus","Corn_1971",33.6676178,-13.6676178,NA,0.280388760584549,32.992224788309
"Anolis","evermanni","max",38.9,"ct",18.27,18.27,-65.91,594,30,30,NA,NA,"Chordata","Lepidosauria","Squamata","Iguanidae","Terrestrial","ectotherm","Anolis_evermanni","Heatwole_et_al_1969",31.60007858,-1.60007858,NA,0.280388760584549,30.4883371824635
"Anolis","gundlachi","max",35.7,"ct",18.29,18.29,-66.79,350,20,20,1.75,NA,"Chordata","Lepidosauria","Squamata","Iguanidae","Terrestrial","ectotherm","Anolis_gundlachi","Huey_&_Webster_1976",31.60007858,-11.60007858,NA,0.280388760584549,30.092224788309
"Anolis","gundlachi","min",6.3,"ct",18.2,18.2,-66.79,NA,NA,NA,NA,NA,"Chordata","Lepidosauria","Squamata","Iguanidae","Terrestrial","ectotherm","Anolis_gundlachi","Huey_unpubl_data_in_Huey_et_al_2012",18.81883621,NA,NA,NA,NA
"Anolis","krugi","max",36,"ct",18.4,18.4,-66.05,200,25,25,1,NA,"Chordata","Lepidosauria","Squamata","Iguanidae","Terrestrial","ectotherm","Anolis_krugi","Hertz_1979",31.60007858,-6.60007858,NA,0.280388760584549,28.9902809853863
"Anolis","oculatus","max",35.5,"ct",15.29,15.29,-61.4,0,25,25,3.6,NA,"Chordata","Lepidosauria","Squamata","Iguanidae","Terrestrial","ectotherm","Anolis_oculatus","Brooks_1968",31.3945179,-6.3945179,NA,0.280388760584549,28.4902809853863
"Anolis","pulchellus","max",36.1,"ct",18.37,18.37,-65.72,1,25,25,1,NA,"Chordata","Lepidosauria","Squamata","Iguanidae","Terrestrial","ectotherm","Anolis_pulchellus","Hertz_1979",31.60007858,-6.60007858,NA,0.280388760584549,29.0902809853863
"Anolis","roquet","max",35.9,"ct",14.64,14.64,-61.02,350,25,NA,1,NA,"Chordata","Lepidosauria","Squamata","Iguanidae","Terrestrial","ectotherm","Anolis_roquet","Hertz_1981",31.27609825,-6.27609825,NA,0.280388760584549,28.8902809853863
"Anolis","sagrei","max",40.5,"ct",25.72,25.72,-80.27,1,20,20,NA,NA,"Chordata","Lepidosauria","Squamata","Iguanidae","Terrestrial","ectotherm","Anolis_sagrei","Corn_1971",33.6676178,-13.6676178,NA,0.280388760584549,34.892224788309
"Anolis","semilineatus","max",39.6,"ct",18.45,18.45,-69.66,16,25,25,1,NA,"Chordata","Lepidosauria","Squamata","Iguanidae","Terrestrial","ectotherm","Anolis_semilineatus","Hertz_1979",31.66293716,-6.66293716,NA,0.280388760584549,32.5902809853863
"Anolis","shrevei","max",40.1,"ct",18.8,18.8,-70.68,2200,29.2,NA,NA,NA,"Chordata","Lepidosauria","Squamata","Iguanidae","Terrestrial","ectotherm","Anolis_shrevei","Hertz_&_Huey_1981",31.87837982,-2.67837982,NA,0.280388760584549,31.9126481909312
"Anolis","stratulus","max",41.2,"ct",18.4,18.4,-66.05,28,30,30,NA,NA,"Chordata","Lepidosauria","Squamata","Iguanidae","Terrestrial","ectotherm","Anolis_stratulus","Heatwole_et_al_1969",31.60007858,-1.60007858,NA,0.280388760584549,32.7883371824636
"Aphaenogaster","fulva","max",41.8,"ct",36.04,36.04,-79.07,180,25,36,0.2,NA,"Arthropoda","Insecta","Hymenoptera","Formicidae","Terrestrial","ectotherm","Aphaenogaster_fulva","Diamond_et_al_2012",32.19478226,-7.19478226,NA,0.280388760584549,34.7902809853863
"Argopecten","purpuratus","max",29,"LT50",-14.25,14.25,-76.2,0,19,NA,NA,24,"Mollusca","Bivalvia","Pectinoida","Pectinidae","Marine","ectotherm","Argopecten_purpuratus","Urban_1994",25.26999855,-6.26999855,NA,0.280388760584549,23.6726135488936
"Aulacomya","atra","max",25.6,"LT50",-36.5,36.5,-73.9,0,13,NA,NA,24,"Mollusca","Bivalvia","Mytiloida","Mytilidae","Marine","ectotherm","Aulacomya_atra","Urban_1994",NA,NA,NA,0.280388760584549,21.9549461124009
"Boreogadus","saida","min",-2,"LT50",71,71,-156.47,0,1,NA,NA,5,"Chordata","Actinopteri","Gadiformes","Gadidae","Marine","ectotherm","Boreogadus_saida","Scholander_et_al_1953",-1.75999999,2.75999999,NA,0.170907369055759,-2.17090736905576
"Bullia","rhodostoma","max",34.7,"LT50",-33.9,33.9,25.6,0,20,NA,NA,12,"Mollusca","Gastropoda","Neogastropoda","Nassariidae","Marine","ectotherm","Bullia_rhodostoma","Ansell_&_McLachlan_1980",25.38999939,-5.38999939,NA,0.280388760584549,29.092224788309
"Calathus","melanocephalus","min",-3.8,"ct",60.6,60.6,NA,1200,13,13,1,NA,"Arthropoda","Insecta","Coleoptera","Carabidae","Terrestrial","ectotherm","Calathus_melanocephalus","Nylund_1991",NA,NA,NA,0.170907369055759,-6.02179579772487
"Camponotus","americanus","max",42.8,"ct",36.04,36.04,-79.07,180,25,36,0.2,NA,"Arthropoda","Insecta","Hymenoptera","Formicidae","Terrestrial","ectotherm","Camponotus_americanus","Diamond_et_al_2012",32.19478226,-7.19478226,NA,0.280388760584549,35.7902809853863
"Camponotus","castaneus","max",40.5,"ct",35.78,35.78,-78.8,146,25,36,0.2,NA,"Arthropoda","Insecta","Hymenoptera","Formicidae","Terrestrial","ectotherm","Camponotus_castaneus","Diamond_et_al_2012",32.93321609,-7.93321609,NA,0.280388760584549,33.4902809853863
"Camponotus","chromaiodes","max",44,"ct",36.04,36.04,-79.07,180,25,36,0.2,NA,"Arthropoda","Insecta","Hymenoptera","Formicidae","Terrestrial","ectotherm","Camponotus_chromaiodes","Diamond_et_al_2012",32.19478226,-7.19478226,NA,0.280388760584549,36.9902809853863
"Camponotus","novaeboracensis","max",40,"ct",42.51,42.51,-72.21,232,25,36,0.2,NA,"Arthropoda","Insecta","Hymenoptera","Formicidae","Terrestrial","ectotherm","Camponotus_novaeboracensis","Diamond_et_al_2012",27.61415291,-2.61415291,NA,0.280388760584549,32.9902809853863
"Camponotus","pennsylvanicus","max",40,"ct",42.51,42.51,-72.21,232,25,36,0.2,NA,"Arthropoda","Insecta","Hymenoptera","Formicidae","Terrestrial","ectotherm","Camponotus_pennsylvanicus","Diamond_et_al_2012",27.61415291,-2.61415291,NA,0.280388760584549,32.9902809853863
"Cerastoderma","edule","max",33.98,"LT50",53,53,5,0,5,NA,NA,24,"Mollusca","Bivalvia","Veneroida","Cardiidae","Intertidal","ectotherm","Cerastoderma_edule","Compton_et_al2007",20.19999886,-15.19999886,NA,0.280388760584549,32.5780561970773
"Cerastoderma","edule","min",-6.18,"LT50",53,53,5,0,5,NA,NA,24,"Mollusca","Bivalvia","Veneroida","Cardiidae","Intertidal","ectotherm","Cerastoderma_edule","Compton_et_al2007",1.279999971,3.720000029,NA,0.170907369055759,-7.0345368452788
