Genus,Species,N,Tmax,max_metric,error,error.measure,Multiple.measures,max_interval_after_LT0,Tmax_2,max_metric_2,error.1,error.measure.1,max_interval_before_LT100,max_pretreatment,max_ramp,lat_max,long_max,elevation_max,REF_max,location_max,N.1,tmin,min_metric,error.2,error_type,Multiple.measures_min,min_interval_after_LT0,N.2,tmin_2,min_metric_2,error.3,error_type.1,min_interval_before_LT100,min_pretreatment,ramp_min,lat_min,long_min,elevation_min,REF_min,location_min,Phylum,Class,Order,Family,Quality.of.UTNZ,Realm,Realm.1,Realm.2,max_pretreatmentnum,thermy,realm,elevation_min_0,elevation_max_0
Abrotanella,patearoa,NA,NA,,NA,,,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,3,-7.5,LT50,,,N,NA,NA,NA,,NA,NA,NA,F,0.083,-45.4,170.1,1240,Bannister_et_al_2005,1,Streptophyta,Spermatophyta,Asterales,Asteraceae,,Terrestrial,Terrestrial,Terrestrial,NA,plant,Terrestrial,1240,NA
Abrothrix,andinus,8,34,UTNZ,NA,,N,NA,NA,,NA,NA,NA,,NA,-34.46,-71.22,NA,Bozinovic_&_Rosenmann_1988,2,8,26.8,LTNZ,,,N,NA,NA,NA,,NA,NA,NA,,NA,-34.46,-71.22,NA,Bozinovic_&_Rosenmann_1988,2,Chordata,Mammalia,Rodentia,Cricetidae,1,Terrestrial,Terrestrial,Terrestrial,NA,endotherm,Terrestrial,NA,NA
Abrothrix,longipilis,5,32,UTNZ,NA,,N,NA,NA,,NA,NA,NA,,NA,-45.54,-71.22,NA,Bozinovic_&_Rosenmann_1988,2,5,27.3,LTNZ,,,N,NA,NA,NA,,NA,NA,NA,,NA,-45.54,-71.22,NA,Bozinovic_&_Rosenmann_1988,2,Chordata,Mammalia,Rodentia,Cricetidae,1,Terrestrial,Terrestrial,Terrestrial,NA,endotherm,Terrestrial,NA,NA
Abrothrix,olivaceus,NA,NA,,NA,,,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,6,26.3,LTNZ,,,N,NA,NA,NA,,NA,NA,NA,,NA,-34.46,-71.23,NA,Bozinovic_&_Rosenmann_1988,2,Chordata,Mammalia,Rodentia,Cricetidae,,Terrestrial,Terrestrial,Terrestrial,NA,endotherm,Terrestrial,NA,NA
Acacia,melanoxylon,NA,NA,,NA,,,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,5,-7.9,LT50,,,N,NA,NA,NA,,NA,NA,NA,F,NA,NA,NA,NA,Bannister_&_Lord_2010,2,Streptophyta,Spermatophyta,Fabales,Fabaceae,,Terrestrial,Terrestrial,Terrestrial,NA,plant,Terrestrial,NA,NA
Acanthodactylus,erythrurus,9,46.3,ctmax,0.65,SE,N,NA,NA,,NA,NA,NA,35,1,36.97,-2.4,585,Bauwens_et_al_1995,2,NA,,,,,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,Chordata,Lepidosauria,Squamata,Lacertidae,,Terrestrial,Terrestrial,Terrestrial,NA,ectotherm,Terrestrial,NA,585
Acanthomyops,sp.1,NA,40,ctmax,NA,,N,NA,NA,,NA,NA,NA,25,0.2,36.04,-79.07,180,Diamond_et_al_2012,1,NA,,,,,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,Arthropoda,Insecta,Hymenoptera,Formicidae,,Terrestrial,Terrestrial,Terrestrial,NA,ectotherm,Terrestrial,NA,180
Acca,sellowiana,NA,NA,,NA,,,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,5,-12.5,LT50,,,N,NA,NA,NA,,NA,NA,NA,F,NA,NA,NA,NA,Bannister_&_Lord_2010,2,Streptophyta,Spermatophyta,Myrtales,Myrtaceae,,Terrestrial,Terrestrial,Terrestrial,NA,plant,Terrestrial,NA,NA
Acer,saccharum,NA,NA,,NA,,,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,4,-39,LT50,,,N,NA,NA,NA,,NA,NA,NA,,NA,43.04,-73,340,Gurney_et_al_2011,1,Streptophyta,Spermatophyta,Sapindales,Aceraceae,,Terrestrial,Terrestrial,Terrestrial,NA,plant,Terrestrial,340,NA
Aceros,plicatus,NA,NA,,NA,,,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,2,16,LTNZ,,,N,NA,NA,NA,,NA,NA,NA,,NA,-5,144.28,NA,McNab_2001,1,Chordata,Aves,Bucerotiformes,Bucerotidae,,Terrestrial,Terrestrial,Terrestrial,NA,endotherm,Terrestrial,NA,NA
Achillea,millefolium,6,41.5,ct50,NA,,N,NA,NA,,NA,NA,NA,,0.5,40.3,-3.7,600,Godoy_et_al_2011,2,NA,,,,,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,Streptophyta,Spermatophyta,Asterales,Asteraceae,,Terrestrial,Terrestrial,Terrestrial,NA,plant,Terrestrial,NA,600
Aciphylla,hectorii,NA,NA,,NA,,,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,3,-8.4,LT50,,,N,NA,NA,NA,,NA,NA,NA,F,0.083,-45.4,170.1,1240,Bannister_et_al_2005,1,Streptophyta,Spermatophyta,Apiales,Apiaceae,,Terrestrial,Terrestrial,Terrestrial,NA,plant,Terrestrial,1240,NA
Ackama,rosifolia,NA,NA,,NA,,,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,5,-5.8,LT50,,,N,NA,NA,NA,,NA,NA,NA,F,NA,-45.9,170.5,70,Bannister_&_Lord_2010,1,Streptophyta,Spermatophyta,Oxalidales,Cunoniaceae,,Terrestrial,Terrestrial,Terrestrial,NA,plant,Terrestrial,70,NA
