"range","equ_of","pol_of","equ_op","pol_op","weighted_equ_of","weighted_pol_of","weighted_equ_op","weighted_pol_op","equ_of_prop","pol_of_prop","equ_op_prop","pol_op_prop","weighted_equ_of_prop","weighted_pol_of_prop","weighted_equ_op_prop","weighted_pol_op_prop","species","source"
"Agkistrodon.contortrix_IUCN",0,289,520,0,0,7658.5,18200,0,0,1,1,0,0,26.5,35,0,"Agkistrodon contortrix","IUCN"
"Agroeca.proxima_GBIF",0,355,1905,4,0,14200,110490,0,0,0.851318944844125,0.968479918657855,1,0,34.052757793765,56.1718352821556,0,"Agroeca proxima","GBIF"
"Alosa.pseudoharengus_IUCN",0,217,307,0,0,7920.5,13047.5,0,0,1,1,0,0,36.5,42.5,0,"Alosa pseudoharengus","IUCN"
"Ameiva.festiva_GBIF",11,20,201,49,77,120,2110.5,563.5,0.215686274509804,0.416666666666667,0.84453781512605,0.636363636363636,1.50980392156863,2.5,8.86764705882353,7.31818181818182,"Ameiva festiva","GBIF"
"Amphibolurus.muricatus_IUCN",0,48,661,165,0,960,19169,1155,0,0.571428571428571,0.977810650887574,0.863874345549738,0,11.4285714285714,28.3565088757396,6.04712041884817,"Amphibolurus muricatus","IUCN"
"Amphibolurus.muricatus_GBIF",0,52,732,30,0,1040,23790,105,0,0.444444444444444,0.934865900383142,0.681818181818182,0,8.88888888888889,30.3831417624521,2.38636363636364,"Amphibolurus muricatus","GBIF"
"Anolis.barbouri_GBIF",0,0,12,43,0,0,12,344,0,0,0.75,0.914893617021277,0,0,0.75,7.31914893617021,"Anolis barbouri","GBIF"
"Anolis.carolinensis_IUCN",0,133,495,62,0,2593.5,13365,372,0,0.815950920245399,0.974409448818898,0.746987951807229,0,15.9110429447853,26.3090551181102,4.48192771084337,"Anolis carolinensis","IUCN"
"Anolis.cooki_GBIF",1,0,3,53,4.5,0,0,477,1,0,1,1,4.5,0,0,9,"Anolis cooki","GBIF"
"Anolis.cristatellus_GBIF",2,0,3,46,9,0,1.5,391,0.333333333333333,0,1,0.92,1.5,0,0.5,7.82,"Anolis cristatellus","GBIF"
"Anolis.gundlachi_GBIF",1,0,3,47,4.5,0,1.5,399.5,0.25,0,1,0.94,1.125,0,0.5,7.99,"Anolis gundlachi","GBIF"
"Anolis.lionotus_IUCN",0,0,206,147,0,0,1648,2352,0,0,0.971698113207547,0.96078431372549,0,0,7.77358490566038,15.3725490196078,"Anolis lionotus","IUCN"
"Austrelaps.superbus_IUCN",0,48,826,0,0,1200,32627,0,0,0.979591836734694,0.998790810157195,0,0,24.4897959183673,39.4522370012092,0,"Austrelaps superbus","IUCN"
"Austrelaps.superbus_GBIF",0,71,808,0,0,1775,30704,0,0,0.788888888888889,0.977025392986699,0,0,19.7222222222222,37.1269649334946,0,"Austrelaps superbus","GBIF"
"Bassiana.duperreyi_GBIF",0,76,773,0,0,1900,27828,0,0,0.584615384615385,0.934703748488513,0,0,14.6153846153846,33.6493349455865,0,"Bassiana duperreyi","GBIF"
"Chamaeleo.dilepis_IUCN",2,23,146,61,19,678.5,6351,1433.5,0.0588235294117647,0.0329985652797704,0.313304721030043,0.136465324384787,0.558823529411765,0.973457675753228,13.6287553648069,3.20693512304251,"Chamaeleo dilepis","IUCN"
"Chamaeleo.jacksonii_GBIF",0,1,99,889,0,5.5,3564,29337,0,0.04,0.908256880733945,0.979074889867841,0,0.22,32.697247706422,32.3094713656388,"Chamaeleo jacksonii","GBIF"
"Clubiona.diversa_GBIF",0,87,3152,11,0,2305.5,168632,170.5,0,0.311827956989247,0.956891317547055,0.180327868852459,0,8.26344086021505,51.1936854887675,2.79508196721311,"Clubiona diversa","GBIF"
"Coleonyx.brevis_IUCN",0,62,467,4,0,1147,13309.5,2,0,0.898550724637681,0.985232067510548,1,0,16.6231884057971,28.0791139240506,0.5,"Coleonyx brevis","IUCN"
"Coleonyx.variegatus_IUCN",0,69,473,0,0,1483.5,13953.5,0,0,0.711340206185567,0.947895791583166,0,0,15.2938144329897,27.9629258517034,0,"Coleonyx variegatus","IUCN"
"Cophosaurus.texanus_IUCN",0,146,319,0,0,3504,9091.5,0,0,1,1,0,0,24,28.5,0,"Cophosaurus texanus","IUCN"
"Cordylus.cordylus_IUCN",0,25,896,0,0,425,28224,0,0,0.568181818181818,0.995555555555556,0,0,9.65909090909091,31.36,0,"Cordylus cordylus","IUCN"
"Cordylus.niger_IUCN",0,1,917,1,0,17,31178,0,0,1,1,1,0,17,34,0,"Cordylus niger","IUCN"
"Cordylus.niger_GBIF",0,2,916,1,0,34,30686,0.5,0,1,1,1,0,17,33.5,0.5,"Cordylus niger","GBIF"
"Cordylus.oelofseni_IUCN",0,3,937,11,0,51,30921,11,0,0.75,0.998933901918977,1,0,12.75,32.9648187633262,1,"Cordylus oelofseni","IUCN"
"Cottus.cognatus_GBIF",0,2134,148,0,0,110968,7992,0,0,1,1,0,0,52,54,0,"Cottus cognatus","GBIF"
"Craugastor.fleischmanni_IUCN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Craugastor fleischmanni","IUCN"
"Crustulina.guttata_GBIF",0,305,3105,14,0,10980,172327.5,91,0,0.745721271393643,0.96849656893325,0.823529411764706,0,26.8459657701712,53.7515595757954,5.35294117647059,"Crustulina guttata","GBIF"
"Ctenophorus.decresii_IUCN",0,21,633,0,0,420,20572.5,0,0,1,1,0,0,20,32.5,0,"Ctenophorus decresii","IUCN"
"Ctenophorus.decresii_GBIF",0,31,632,0,0,651,20540,0,0,0.96875,0.998420221169036,0,0,20.34375,32.4486571879937,0,"Ctenophorus decresii","GBIF"
"Ctenotus.regius_IUCN",0,154,475,0,0,3234,13537.5,0,0,0.797927461139896,0.924124513618677,0,0,16.7564766839378,26.3375486381323,0,"Ctenotus regius","IUCN"
"Ctenotus.regius_GBIF",0,162,466,0,0,3402,13281,0,0,0.771428571428571,0.906614785992218,0,0,16.2,25.8385214007782,0,"Ctenotus regius","GBIF"
"Ctenotus.taeniolatus_IUCN",0,109,351,1,0,2616,9126,0,0,0.756944444444444,0.909326424870466,1,0,18.1666666666667,23.6424870466321,0,"Ctenotus taeniolatus","IUCN"
"Ctenotus.taeniolatus_GBIF",0,157,354,0,0,3768,9381,0,0,0.830687830687831,0.917098445595855,0,0,19.9365079365079,24.3031088082902,0,"Ctenotus taeniolatus","GBIF"
"Ctenotus.uber_IUCN",0,59,424,8,0,1091.5,10812,12,0,0.483606557377049,0.877846790890269,0.666666666666667,0,8.94672131147541,22.3850931677019,1,"Ctenotus uber","IUCN"
"Ctenotus.uber_GBIF",0,327,364,0,0,7684.5,10192,0,0,0.713973799126638,0.735353535353535,0,0,16.778384279476,20.589898989899,0,"Ctenotus uber","GBIF"
"Dendrobates.auratus_IUCN",2,0,209,171,18,0,1672,3420,0.0666666666666667,0,0.928888888888889,0.895287958115183,0.6,0,7.43111111111111,17.9057591623037,"Dendrobates auratus","IUCN"
"Desmognathus.fuscus_IUCN",0,153,530,11,0,3825,20140,66,0,0.698630136986301,0.889261744966443,1,0,17.4657534246575,33.7919463087248,6,"Desmognathus fuscus","IUCN"
"Dipsosaurus.dorsalis_IUCN",0,87,361,0,0,2262,10830,0,0,1,1,0,0,26,30,0,"Dipsosaurus dorsalis","IUCN"
"Egernia.cunninghami_IUCN",0,42,731,59,0,903,22661,118,0,0.736842105263158,0.979892761394102,0.983333333333333,0,15.8421052631579,30.3766756032172,1.96666666666667,"Egernia cunninghami","IUCN"
"Egernia.cunninghami_GBIF",0,80,705,19,0,1720,22560,19,0,0.567375886524823,0.922774869109948,0.730769230769231,0,12.1985815602837,29.5287958115183,0.730769230769231,"Egernia cunninghami","GBIF"
"Egernia.saxatilis_IUCN",0,41,778,0,0,881.5,26841,0,0,1,1,0,0,21.5,34.5,0,"Egernia saxatilis","IUCN"
"Egernia.saxatilis_GBIF",0,64,764,10,0,1376,25212,0,0,0.82051282051282,0.982005141388175,0.909090909090909,0,17.6410256410256,32.4061696658098,0,"Egernia saxatilis","GBIF"
"Egernia.striolata_IUCN",0,100,510,119,0,2100,13770,595,0,0.478468899521531,0.857142857142857,0.777777777777778,0,10.0478468899522,23.1428571428571,3.88888888888889,"Egernia striolata","IUCN"
"Egernia.striolata_GBIF",0,128,471,69,0,2816,12952.5,310.5,0,0.430976430976431,0.791596638655462,0.605263157894737,0,9.48148148148148,21.7689075630252,2.72368421052632,"Egernia striolata","GBIF"
"Eleutherodactylus.coqui_IUCN",1,0,3,47,4.5,0,1.5,399.5,0.25,0,1,0.94,1.125,0,0.5,7.99,"Eleutherodactylus coqui","IUCN"
"Elgaria.multicarinata_IUCN",0,46,635,0,0,1334,24130,0,0,0.676470588235294,0.966514459665145,0,0,19.6176470588235,36.7275494672755,0,"Elgaria multicarinata","IUCN"
"Eremias.argus_IUCN",0,555,2879,2,0,17482.5,118039,4,0,1,1,1,0,31.5,41,2,"Eremias argus","IUCN"
"Eremias.brenchleyi_IUCN",0,134,2589,22,0,2948,90615,66,0,1,1,1,0,22,35,3,"Eremias brenchleyi","IUCN"
"Eremias.multiocellata_IUCN",0,153,1537,0,0,5737.5,71470.5,0,0,1,1,0,0,37.5,46.5,0,"Eremias multiocellata","IUCN"
"Eremias.multiocellata_GBIF",0,439,1537,0,0,15584.5,63785.5,0,0,1,1,0,0,35.5,41.5,0,"Eremias multiocellata","GBIF"
"Eremiascincus.fasciolatus_IUCN",0,13,369,88,0,175.5,8302.5,396,0,0.240740740740741,0.936548223350254,0.846153846153846,0,3.25,21.0723350253807,3.80769230769231,"Eremiascincus fasciolatus","IUCN"
"Eremiascincus.fasciolatus_GBIF",0,281,181,2,0,5760.5,4344,6,0,0.470686767169179,0.389247311827957,0.0294117647058824,0,9.64907872696817,9.34193548387097,0.0882352941176471,"Eremiascincus fasciolatus","GBIF"
"Eulamprus.heatwolei_IUCN",0,36,677,0,0,774,23018,0,0,0.947368421052632,0.997054491899853,0,0,20.3684210526316,33.899852724595,0,"Eulamprus heatwolei","IUCN"
"Eulamprus.kosciuskoi_IUCN",0,5,760,53,0,92.5,24700,238.5,0,0.357142857142857,0.988296488946684,1,0,6.60714285714286,32.1196358907672,4.5,"Eulamprus kosciuskoi","IUCN"
"Eulamprus.kosciuskoi_GBIF",0,20,745,74,0,350,23840,370,0,0.4,0.968790637191157,0.880952380952381,0,7,31.001300390117,4.40476190476191,"Eulamprus kosciuskoi","GBIF"
"Eulamprus.quoyii_IUCN",0,75,485,134,0,1575,12852.5,737,0,0.539568345323741,0.920303605313093,0.858974358974359,0,11.3309352517986,24.388045540797,4.72435897435897,"Eulamprus quoyii","IUCN"
"Eulamprus.quoyii_GBIF",0,113,539,58,0,2486,15631,174,0,0.506726457399103,0.839563862928349,0.753246753246753,0,11.1479820627803,24.3473520249221,2.25974025974026,"Eulamprus quoyii","GBIF"
