"longitude","latitude","seasonal_high_temp","hot_dormancy_6mo","cold_dormancy_6mo"
-179.5,-89.5,-22.9331879993901,-39.6967366973204,-39.6967366973204
-179.5,-88.5,-25.0284589535424,-40.4059568784067,-40.4059568784067
-179.5,-87.5,-24.3180902625301,-38.4550908311935,-38.4550908311935
-179.5,-86.5,-22.1367508988295,-35.3488666658157,-35.3488666658157
-179.5,-85.5,-19.1099363999707,-31.5823053042005,-31.5823053042005
-179.5,-84.5,-6.73090626570754,-18.8503873021808,-18.8503873021808
-179.5,-83.5,-2.37268906479169,-15.0685399821959,-15.0685399821959
-179.5,-82.5,-3.38404430172273,-16.9917483367159,-16.9917483367159
-179.5,-81.5,-4.08280007307019,-18.3863003911317,-18.3863003911317
-179.5,-80.5,-4.30652213068679,-18.9706869287017,-18.9706869287017
-179.5,-79.5,-3.81621408890933,-18.3618197460792,-18.3618197460792
-179.5,-78.5,-2.68669302569968,-17.647770155647,-17.647770155647
-179.5,65.5,4.91677633414843,-1.11492795349316,-1.11492795349316
-179.5,66.5,3.69667094557413,-2.87872265553368,-2.87872265553368
-179.5,67.5,2.28268366094146,-4.51957155383924,-4.51957155383924
-179.5,68.5,0.968383750053389,-5.76175893109425,-5.76175893109425
-179.5,70.5,-1.33093775510788,-6.55079039545922,-6.55079039545922
-179.5,71.5,-1.39007195021425,-6.61418034355592,-6.61418034355592
-178.5,-89.5,-22.9235164396199,-39.6777734719217,-39.6777734719217
-178.5,-88.5,-25.0637794544122,-40.3960751244,-40.3960751244
-178.5,-87.5,-24.3451978148094,-38.3866598072595,-38.3866598072595
-178.5,-86.5,-22.1847720165338,-35.2527225905231,-35.2527225905231
-178.5,-85.5,-17.9938703379228,-30.233410321216,-30.233410321216
-178.5,-84.5,-6.55740731342563,-18.4048788591621,-18.4048788591621
-178.5,-83.5,-2.6147982022592,-15.1216368506663,-15.1216368506663
-178.5,-82.5,-3.62831643340843,-17.1443683006867,-17.1443683006867
-178.5,-81.5,-4.26742096628462,-18.509407898624,-18.509407898624
-178.5,-80.5,-4.47229669807213,-19.0623955966905,-19.0623955966905
-178.5,-79.5,-3.99903621100155,-18.4466404190553,-18.4466404190553
-178.5,-78.5,-2.82307069940226,-17.8438993585961,-17.8438993585961
-178.5,65.5,4.74456388357628,-1.04827281559661,-1.04827281559661
-178.5,66.5,3.78142397836117,-2.74351427297307,-2.74351427297307
-178.5,67.5,2.72653630929334,-4.07210928409227,-4.07210928409227
-178.5,68.5,1.48144489420312,-5.08488793524448,-5.08488793524448
-178.5,71.5,-1.29451558882637,-6.46077374384505,-6.46077374384505
-177.5,-89.5,-22.9214361171903,-39.657073643165,-39.657073643165
-177.5,-88.5,-25.1108454031071,-40.382299934913,-40.382299934913
-177.5,-87.5,-24.3353946154139,-38.2873662372519,-38.2873662372519
-177.5,-86.5,-22.184324065383,-35.118687760963,-35.118687760963
-177.5,-85.5,-15.517386944276,-27.5903557904397,-27.5903557904397
-177.5,-84.5,-5.92595574664218,-17.5708056702395,-17.5708056702395
-177.5,-83.5,-2.7900600529675,-15.1835234094012,-15.1835234094012
-177.5,-82.5,-3.79353187903762,-17.3040592464951,-17.3040592464951
-177.5,-81.5,-4.41180594116449,-18.6233649176279,-18.6233649176279
-177.5,-80.5,-4.60036563838034,-19.1346191345115,-19.1346191345115
-177.5,-79.5,-4.16863818881767,-18.5484685931355,-18.5484685931355
-177.5,-78.5,-2.93100972537483,-18.0114029596959,-18.0114029596959
-177.5,51.5,9.40769738421908,7.56860600214058,7.56860600214058
-177.5,65.5,4.62348317283738,-1.12899940127727,-1.12899940127727
-177.5,66.5,3.52076217911339,-3.01061745974065,-3.01061745974065
-177.5,67.5,3.05768941726003,-3.74595210118485,-3.74595210118485
-177.5,68.5,1.25969974638096,-5.11997663539701,-5.11997663539701
-177.5,71.5,-1.35824550933072,-6.28960894882275,-6.28960894882275
-176.5,-89.5,-22.9257892807946,-39.6341032522065,-39.6341032522065
-176.5,-88.5,-25.147219020554,-40.3691706111655,-40.3691706111655
