"longitude","latitude","seasonal_high_temp","hot_dormancy_6mo","cold_dormancy_6mo","hot_acc_temp","hot_acc_temp_dormancy"
-76.5,83.5,-6.17696588316134,-11.1016359416635,-11.1016359416635,-11.1040548891684,-12.1829530403858
-75.5,83.5,-6.1435741599117,-11.0529521131356,-11.0529521131356,-11.0991552773981,-12.1682631581889
-72.5,83.5,-6.08419521216835,-10.9439403967134,-10.9439403967134,-11.032224380853,-12.0796642208871
-71.5,83.5,-6.06261738411018,-10.8595774693947,-10.8595774693947,-10.9745012555451,-11.9885177031492
-70.5,83.5,-6.09130495382207,-10.882911868287,-10.882911868287,-10.9663791685058,-11.9864567945445
-46.5,83.5,-6.60102687456778,-11.0559316108802,-11.0559316108802,-11.2362601747109,-12.2531808244971
-45.5,83.5,-6.67328679338098,-11.0027768563912,-11.0027768563912,-11.3089584536683,-12.2485476507414
-44.5,83.5,-6.73002695920212,-11.0016260176099,-11.0016260176099,-11.3746574961563,-12.2818728589686
-43.5,83.5,-6.82886902540922,-11.122502495721,-11.122502495721,-11.4938108154579,-12.4206826631046
-42.5,83.5,-6.79876496903598,-11.1070941959641,-11.1070941959641,-11.4919027863553,-12.4334962086619
-41.5,83.5,-6.7437222030546,-11.0965242197471,-11.0965242197471,-11.482492418914,-12.4576735062392
-40.5,83.5,-6.73014306411413,-11.127434003566,-11.127434003566,-11.5274409015184,-12.5357119306656
-39.5,83.5,-6.73178009662245,-11.2058208674192,-11.2058208674192,-11.5840291582759,-12.6476392613724
-38.5,83.5,-6.97576918325254,-11.5362106905984,-11.5362106905984,-11.9188201961781,-13.0417013737639
-37.5,83.5,-7.16074205024966,-11.7783994692744,-11.7783994692744,-12.1840262300003,-13.3475640322306
-36.5,83.5,-7.33472740525114,-11.973749806998,-11.973749806998,-12.4078270796888,-13.5904288452351
-35.5,83.5,-7.4692007933868,-12.1043379094452,-12.1043379094452,-12.5756100010576,-13.7617403843652
-34.5,83.5,-7.38702966178368,-11.9739409830222,-11.9739409830222,-12.4691753532738,-13.6337013092208
-33.5,83.5,-7.42373312149929,-11.9180412957179,-11.9180412957179,-12.4662292438937,-13.5808006114617
-32.5,83.5,-7.38918275758624,-11.6806713808993,-11.6806713808993,-12.3642771207689,-13.3574376418521
-31.5,83.5,-7.18807804938406,-11.4972051737564,-11.4972051737564,-12.10859719237,-13.1270001144947
-30.5,83.5,-7.18858993708023,-11.5198656174554,-11.5198656174554,-12.0368504964353,-13.0850205234734
-29.5,83.5,-7.09736909821097,-11.4068544616657,-11.4068544616657,-11.8570536925748,-12.9070032338944
-28.5,83.5,-6.93713879128918,-11.1923120296427,-11.1923120296427,-11.5866915465835,-12.6185099328502
-27.5,83.5,-6.89326853901148,-11.0686904840304,-11.0686904840304,-11.4215014305385,-12.4192337939582
-26.5,83.5,-6.75485630312136,-10.8305477892065,-10.8305477892065,-11.1605966957832,-12.1111678556674
-88.5,82.5,-6.5623605545078,-11.6539310017933,-11.6539310017933,-11.5438028153309,-12.6879959378003
-86.5,82.5,-6.54333773872682,-11.682253685394,-11.682253685394,-11.7946343512401,-12.8197105557658
-85.5,82.5,-6.61084040594952,-11.7951738349345,-11.7951738349345,-11.9748733552017,-13.0201791708453
-84.5,82.5,-6.73908331862518,-11.9894456614441,-11.9894456614441,-12.2555724061434,-13.330874108256
