"longitude","latitude","seasonal_low_temp","cold_dormancy_1","cold_dormancy_2","cold_dormancy_3"
-179.5,-89.5,-61.1785970683609,-58.8437256811486,-58.1498383082804,-57.7306247578761
-179.5,-88.5,-61.0979875721037,-58.9434751718377,-58.3007213063671,-57.938191494128
-179.5,-87.5,-58.4617086491414,-56.4574592312177,-55.8640627410427,-55.5443319781247
-179.5,-86.5,-54.8094898454845,-52.9158488343192,-52.3505339976482,-52.0698754999044
-179.5,-85.5,-50.6314273097153,-48.9058928902461,-48.295306113179,-48.0383687925287
-179.5,-84.5,-37.7185719884932,-36.0736642008381,-35.3911551382739,-35.1493476175836
-179.5,-83.5,-34.2995442104925,-32.4623748522318,-31.7314109264423,-31.4999347984487
-179.5,-82.5,-36.6368923512953,-34.5633649424118,-33.7781006463582,-33.5451910828225
-179.5,-81.5,-38.156231676521,-35.8765447536749,-35.0954862901798,-34.8856654650245
-179.5,-80.5,-38.6358654442642,-36.2326408128162,-35.4721463739217,-35.2168566457226
-179.5,-79.5,-37.6917780192835,-35.2921458466777,-34.5117886169814,-34.2576893433219
-179.5,-78.5,-36.9533152966627,-34.4540334792173,-33.6719903807309,-33.3736416184055
-179.5,65.5,-23.8809806421399,-12.8946763460174,-12.6926376281287,-12.6366601317506
-179.5,66.5,-28.7617385766336,-15.133724907035,-14.8128485051956,-14.7420633418745
-179.5,67.5,-32.0425470953541,-16.9252240779725,-16.6139342132488,-16.5305713017309
-179.5,68.5,-32.872713459017,-18.093480002655,-17.780006015158,-17.7155380503906
-179.5,70.5,-29.1027645299876,-19.0170630180369,-18.8727972248895,-18.8357936005434
-179.5,71.5,-31.1200736652528,-19.502142157067,-19.2359625169472,-19.2040913842238
-178.5,-89.5,-61.1516194523445,-58.8169304197405,-58.1240308862357,-57.7041368709366
-178.5,-88.5,-61.0555979937315,-58.9067392645179,-58.2664953785416,-57.9038807247544
-178.5,-87.5,-58.3300055629441,-56.3416725604535,-55.7499556713871,-55.430635032827
-178.5,-86.5,-54.6195345953107,-52.7543066169873,-52.2053874573138,-51.9091968320146
-178.5,-85.5,-49.1381001442139,-47.484094357903,-46.847710720369,-46.5952910804859
-178.5,-84.5,-37.1070113229964,-35.4893789356574,-34.8326392062938,-34.6031031837776
-178.5,-83.5,-34.2379235657331,-32.4135545478868,-31.7108102613594,-31.471414168964
-178.5,-82.5,-36.7365265770682,-34.6602478683061,-33.8877567516037,-33.6609088231529
-178.5,-81.5,-38.2596242621275,-35.9713436044753,-35.2103431454372,-34.9944854510416
-178.5,-80.5,-38.7228217543236,-36.3192272560282,-35.5531129325812,-35.3054275984646
-178.5,-79.5,-37.7781088903546,-35.3815110624983,-34.6081158027053,-34.3505651403533
-178.5,-78.5,-37.2182839279728,-34.6959849555685,-33.9125041066713,-33.6145479459392
-178.5,65.5,-22.7197777671473,-12.9804040065479,-12.812212828727,-12.770881087377
-178.5,66.5,-28.6617450090391,-15.2006336239638,-14.8762189788887,-14.8070200486603
