"longitude","latitude","seasonal_low_temp","cold_dormancy_6mo","hot_dormancy_6mo","cold_acc_temp","cold_acc_temp_dormancy"
-76.5,83.5,-36.4729188693421,-25.031120631764,-25.031120631764,-25.1203447718859,-24.7760889934987
-75.5,83.5,-36.467345291589,-25.02443026471,-25.02443026471,-25.1375889735827,-24.7818774106792
-72.5,83.5,-36.2140709996223,-24.9573843855943,-24.9573843855943,-25.0624847287831,-24.7320434767484
-71.5,83.5,-35.9246317479227,-24.8997089324608,-24.8997089324608,-24.9468355610057,-24.6741515290746
-70.5,83.5,-35.8299556367099,-24.8946940403875,-24.8946940403875,-24.9216816811209,-24.6671275262617
-46.5,83.5,-35.7549262061715,-25.2639338099176,-25.2639338099176,-25.4225260383196,-25.0752663602744
-45.5,83.5,-35.586053567699,-25.3360091237085,-25.3360091237085,-25.4419171750387,-25.1521809741464
-44.5,83.5,-35.5955521426563,-25.4041134620884,-25.4041134620884,-25.5088920640447,-25.1415971667309
-43.5,83.5,-35.8705574846693,-25.5330408893659,-25.5330408893659,-25.6889022051784,-25.2717998755642
-42.5,83.5,-36.0276598047997,-25.5546231445457,-25.5546231445457,-25.7517506889085,-25.1261372205868
-41.5,83.5,-36.2868187189634,-25.5998056767774,-25.5998056767774,-25.8418873924377,-25.148774180906
-40.5,83.5,-36.629003353244,-25.7112009405957,-25.7112009405957,-25.9973366189577,-25.233809449394
-39.5,83.5,-37.0549782854372,-25.8331671536767,-25.8331671536767,-26.1830582090973,-25.3267635373748
-38.5,83.5,-37.8554648943245,-26.2660405599645,-26.2660405599645,-26.683100987846,-25.7200228758522
-37.5,83.5,-38.4915847244007,-26.6188161320718,-26.6188161320718,-27.0844668435168,-26.0389678658469
-36.5,83.5,-38.9337402620486,-26.9016780391801,-26.9016780391801,-27.3939403474909,-26.2997596434534
-35.5,83.5,-39.2213235940252,-27.1129420634093,-27.1129420634093,-27.615552602973,-26.4959211903092
-34.5,83.5,-39.0046153127083,-26.9970761797923,-26.9970761797923,-27.4837220698672,-26.3847382376087
-33.5,83.5,-38.7489002145735,-26.9693531691097,-26.9693531691097,-27.4116387027563,-26.3701649221396
-32.5,83.5,-38.0677840754124,-26.8130030602749,-26.8130030602749,-27.1424472554394,-26.2452921595491
-31.5,83.5,-37.7881743541786,-26.5268190036927,-26.5268190036927,-26.8768958443106,-25.9642810045446
-30.5,83.5,-37.6637582404273,-26.409960163225,-26.409960163225,-26.7825060651266,-25.8565186437319
-29.5,83.5,-37.2887024700642,-26.1690895454426,-26.1690895454426,-26.5360808809927,-25.6332653311597
-28.5,83.5,-36.6975966325828,-25.8174285367397,-25.8174285367397,-26.1583603695668,-25.307927421344
-27.5,83.5,-36.1252730918782,-25.560170107122,-25.560170107122,-25.8586753880768,-25.0822241906534
-26.5,83.5,-35.4053690390927,-25.2264904269461,-25.2264904269461,-25.4484594569994,-24.9379424703019
-88.5,82.5,-37.2713988559587,-25.3548095723703,-25.3548095723703,-25.3907357210802,-25.0350746255846
-86.5,82.5,-37.7305821316583,-25.480501479008,-25.480501479008,-25.6663838303159,-25.1936922409922
-85.5,82.5,-38.2337447771004,-25.6641214041394,-25.6641214041394,-25.9839332708515,-25.4040651531226
-84.5,82.5,-38.9685961944716,-26.0073899203013,-26.0073899203013,-26.4493936530348,-25.564336923672
-83.5,82.5,-39.5234473368951,-26.178980253883,-26.178980253883,-26.6677108991342,-25.6780169571833
-82.5,82.5,-40.148487552149,-26.354332719078,-26.354332719078,-26.912069219371,-25.795223544232
-81.5,82.5,-40.9263180610325,-26.8350528936833,-26.8350528936833,-27.4343126697499,-26.2315551839503
-80.5,82.5,-41.6266069114208,-27.3008887781096,-27.3008887781096,-27.9301652420733,-26.6588454169853
-79.5,82.5,-42.369993185997,-27.7877958192889,-27.7877958192889,-28.445411051357,-27.1006233937024
-78.5,82.5,-43.3038192336048,-28.4486213646297,-28.4486213646297,-29.1309206434133,-27.7100320491067
-77.5,82.5,-44.1660240147795,-29.2973021571125,-29.2973021571125,-29.9697101491609,-28.5397204027902
-76.5,82.5,-43.7312516880887,-28.9512201033,-28.9512201033,-29.6003209486361,-28.1874767329876
