"longitude","latitude","seasonal_low_temp","cold_dormancy_6mo","hot_dormancy_6mo","low_at_min_elev","low_elev_x_cold_dormancy","low_elev_x_hot_dormancy"
-179.5,-89.5,-61.1785970683609,-59.319675632034,-59.319675632034,-61.1785970683609,-59.319675632034,-59.319675632034
-179.5,-88.5,-61.0979875721037,-59.3558064355515,-59.3558064355515,-61.0979875721037,-59.3558064355515,-59.3558064355515
-179.5,-87.5,-58.4617086491414,-56.8092425728483,-56.8092425728483,-58.4617086491414,-56.8092425728483,-56.8092425728483
-179.5,-86.5,-54.8094898454845,-53.2115327942784,-53.2115327942784,-54.8094898454845,-53.2115327942784,-53.2115327942784
-179.5,-85.5,-50.6314273097153,-49.0429807106765,-49.0429807106765,-50.6314273097153,-49.0429807106765,-49.0429807106765
-179.5,-84.5,-37.7185719884932,-36.0736642008381,-36.0736642008381,-37.7185719884932,-36.0736642008381,-36.0736642008381
-179.5,-83.5,-34.2995442104925,-32.4623748522318,-32.4623748522318,-34.2995442104925,-32.4623748522318,-32.4623748522318
-179.5,-82.5,-36.6368923512953,-34.5633649424118,-34.5633649424118,-36.6368923512953,-34.5633649424118,-34.5633649424118
-179.5,-81.5,-38.156231676521,-35.8765447536749,-35.8765447536749,-38.156231676521,-35.8765447536749,-35.8765447536749
-179.5,-80.5,-38.6358654442642,-36.2174245387316,-36.2174245387316,-38.6358654442642,-36.2174245387316,-36.2174245387316
-179.5,-79.5,-37.6917780192835,-35.2271191480969,-35.2271191480969,-37.6917780192835,-35.2271191480969,-35.2271191480969
-179.5,-78.5,-36.9533152966627,-34.3896365494068,-34.3896365494068,-36.9533152966627,-34.3896365494068,-34.3896365494068
-179.5,65.5,-23.8809806421399,-13.202343725323,-13.202343725323,-23.8016503038307,-13.1230133870138,-13.1230133870138
-179.5,66.5,-28.7617385766336,-15.2698604151074,-15.2698604151074,-27.8336343207232,-14.341756159197,-14.341756159197
-179.5,67.5,-32.0425470953541,-17.1535643852892,-17.1535643852892,-31.1269672959669,-16.237984585902,-16.237984585902
-179.5,68.5,-32.872713459017,-18.3568520764599,-18.3568520764599,-31.9860114641996,-17.4701500816425,-17.4701500816425
-179.5,70.5,-29.1027645299876,-19.3557951000563,-19.3557951000563,-29.0600616606704,-19.3130922307391,-19.3130922307391
-179.5,71.5,-31.1200736652528,-19.6884934701558,-19.6884934701558,-30.8247635528149,-19.3931833577179,-19.3931833577179
-178.5,-89.5,-61.1516194523445,-59.2928513866982,-59.2928513866982,-61.1516194523445,-59.2928513866982,-59.2928513866982
-178.5,-88.5,-61.0555979937315,-59.3172031595438,-59.3172031595438,-61.0555979937315,-59.3172031595438,-59.3172031595438
-178.5,-87.5,-58.3300055629441,-56.687084577818,-56.687084577818,-58.3300055629441,-56.687084577818,-56.687084577818
-178.5,-86.5,-54.6195345953107,-53.036702858507,-53.036702858507,-54.6195345953107,-53.036702858507,-53.036702858507
-178.5,-85.5,-49.1381001442139,-47.5750222582636,-47.5750222582636,-49.1381001442139,-47.5750222582636,-47.5750222582636
-178.5,-84.5,-37.1070113229964,-35.4893789356574,-35.4893789356574,-37.1070113229964,-35.4893789356574,-35.4893789356574
-178.5,-83.5,-34.2379235657331,-32.4135545478868,-32.4135545478868,-34.2379235657331,-32.4135545478868,-32.4135545478868
-178.5,-82.5,-36.7365265770682,-34.6602478683061,-34.6602478683061,-36.7365265770682,-34.6602478683061,-34.6602478683061
-178.5,-81.5,-38.2596242621275,-35.9713436044753,-35.9713436044753,-38.2596242621275,-35.9713436044753,-35.9713436044753
-178.5,-80.5,-38.7228217543236,-36.2941131987742,-36.2941131987742,-38.7228217543236,-36.2941131987742,-36.2941131987742
-178.5,-79.5,-37.7781088903546,-35.3050888188316,-35.3050888188316,-37.7781088903546,-35.3050888188316,-35.3050888188316
-178.5,-78.5,-37.2182839279728,-34.6083966036194,-34.6083966036194,-37.2182839279728,-34.6083966036194,-34.6083966036194
-178.5,65.5,-22.7197777671473,-13.3267387898004,-13.3267387898004,-22.6749757317203,-13.2819367543734,-13.2819367543734
-178.5,66.5,-28.6617450090391,-15.3177944147489,-15.3177944147489,-27.7546802847247,-14.4107296904345,-14.4107296904345
-178.5,67.5,-31.5770576119955,-16.7774307913768,-16.7774307913768,-30.8909422468612,-16.0913154262425,-16.0913154262425
-178.5,68.5,-30.5785042901124,-17.620809838464,-17.620809838464,-30.3565213522305,-17.3988269005821,-17.3988269005821
-178.5,71.5,-30.5168435483107,-19.4939173037342,-19.4939173037342,-30.3154101745523,-19.2924839299758,-19.2924839299758
-177.5,-89.5,-61.1177328963365,-59.2604479564088,-59.2604479564088,-61.1177328963365,-59.2604479564088,-59.2604479564088
-177.5,-88.5,-61.0006008092846,-59.268247352607,-59.268247352607,-61.0006008092846,-59.268247352607,-59.268247352607
-177.5,-87.5,-58.1707123573337,-56.5365585161639,-56.5365585161639,-58.1707123573337,-56.5365585161639,-56.5365585161639
-177.5,-86.5,-54.3973774867398,-52.8283012598919,-52.8283012598919,-54.3973774867398,-52.8283012598919,-52.8283012598919
-177.5,-85.5,-46.38655602304,-44.8397960922814,-44.8397960922814,-46.38655602304,-44.8397960922814,-44.8397960922814
-177.5,-84.5,-36.1444257687245,-34.5445426324981,-34.5445426324981,-36.1444257687245,-34.5445426324981,-34.5445426324981
-177.5,-83.5,-34.2261439962046,-32.4042466908028,-32.4042466908028,-34.2261439962046,-32.4042466908028,-32.4042466908028
-177.5,-82.5,-36.892138156827,-34.8012802675899,-34.8012802675899,-36.892138156827,-34.8012802675899,-34.8012802675899
-177.5,-81.5,-38.3725206728226,-36.0717842947159,-36.0717842947159,-38.3725206728226,-36.0717842947159,-36.0717842947159
-177.5,-80.5,-38.802219662496,-36.3625185474753,-36.3625185474753,-38.802219662496,-36.3625185474753,-36.3625185474753
-177.5,-79.5,-37.8996164680592,-35.4142989126034,-35.4142989126034,-37.8996164680592,-35.4142989126034,-35.4142989126034
-177.5,-78.5,-37.4646386943491,-34.8059577146678,-34.8059577146678,-37.4646386943491,-34.8059577146678,-34.8059577146678
-177.5,51.5,-10.0946664472776,-5.8719137530275,-5.8719137530275,-10.0224291037703,-5.79967640952025,-5.79967640952025
-177.5,65.5,-23.3577019235918,-13.5038932114942,-13.5038932114942,-23.0561559743358,-13.2023472622382,-13.2023472622382
-177.5,66.5,-29.4075937039086,-15.6900443711495,-15.6900443711495,-28.5049115933606,-14.7873622606015,-14.7873622606015
-177.5,67.5,-31.324014687751,-16.5057569749121,-16.5057569749121,-30.9477789271053,-16.1295212142664,-16.1295212142664
-177.5,68.5,-28.8977938307449,-17.6067300261974,-17.6067300261974,-28.8818902847344,-17.5908264801869,-17.5908264801869
-177.5,71.5,-29.1315743143803,-19.2887432834932,-19.2887432834932,-29.0779515579213,-19.2351205270342,-19.2351205270342
-176.5,-89.5,-61.0767318713878,-59.2221750413733,-59.2221750413733,-61.0767318713878,-59.2221750413733,-59.2221750413733
-176.5,-88.5,-60.9525546712535,-59.2246834031373,-59.2246834031373,-60.9525546712535,-59.2246834031373,-59.2246834031373
-176.5,-87.5,-57.9887064078024,-56.3611024011991,-56.3611024011991,-57.9887064078024,-56.3611024011991,-56.3611024011991
-176.5,-86.5,-54.1784252322146,-52.6176009117493,-52.6176009117493,-54.1784252322146,-52.6176009117493,-52.6176009117493
-176.5,-85.5,-45.7008171232683,-44.1622174881931,-44.1622174881931,-45.7008171232683,-44.1622174881931,-44.1622174881931
-176.5,-84.5,-33.7958173759282,-32.2039929721704,-32.2039929721704,-33.7958173759282,-32.2039929721704,-32.2039929721704
-176.5,-83.5,-34.2614699192877,-32.4318601658568,-32.4318601658568,-34.2614699192877,-32.4318601658568,-32.4318601658568
-176.5,-82.5,-37.0816506077136,-34.9681756094032,-34.9681756094032,-37.0816506077136,-34.9681756094032,-34.9681756094032
-176.5,-81.5,-38.4955624774498,-36.1761028060956,-36.1761028060956,-38.4955624774498,-36.1761028060956,-36.1761028060956
-176.5,-80.5,-38.8767587031637,-36.4250904153866,-36.4250904153866,-38.8767587031637,-36.4250904153866,-36.4250904153866
-176.5,-79.5,-38.0041006482073,-35.5039670707392,-35.5039670707392,-38.0041006482073,-35.5039670707392,-35.5039670707392
-176.5,-78.5,-37.6474864303001,-34.9416808813378,-34.9416808813378,-37.6474864303001,-34.9416808813378,-34.9416808813378
-176.5,-43.5,0.561639417055994,1.63106538237605,1.63106538237605,0.571936233473026,1.64136219879308,1.64136219879308
-176.5,51.5,-9.94918917724114,-5.84289376524144,-5.84289376524144,-9.82931679637811,-5.72302138437841,-5.72302138437841
-176.5,65.5,-24.2952252651964,-13.4193446086413,-13.4193446086413,-23.8718304877581,-12.995949831203,-12.995949831203
-176.5,66.5,-29.6032891563007,-15.6908033141888,-15.6908033141888,-28.962670855333,-15.0501850132211,-15.0501850132211
-176.5,67.5,-30.9544958566981,-16.5290541299209,-16.5290541299209,-30.775165922694,-16.3497241959168,-16.3497241959168
-175.5,-89.5,-61.0424903686557,-59.1891955676888,-59.1891955676888,-61.0424903686557,-59.1891955676888,-59.1891955676888
-175.5,-88.5,-60.9153109553669,-59.1900214475513,-59.1900214475513,-60.9153109553669,-59.1900214475513,-59.1900214475513
-175.5,-87.5,-57.7628322663052,-56.13880567854,-56.13880567854,-57.7628322663052,-56.13880567854,-56.13880567854
-175.5,-86.5,-53.9620102305497,-52.4039750665692,-52.4039750665692,-53.9620102305497,-52.4039750665692,-52.4039750665692
-175.5,-85.5,-46.5262152688844,-44.9881339238691,-44.9881339238691,-46.5262152688844,-44.9881339238691,-44.9881339238691
-175.5,-84.5,-34.6724079094827,-33.0812266714073,-33.0812266714073,-34.6724079094827,-33.0812266714073,-33.0812266714073
-175.5,-83.5,-34.3425259696453,-32.4953428795162,-32.4953428795162,-34.3425259696453,-32.4953428795162,-32.4953428795162
-175.5,-82.5,-37.286213656302,-35.143767639223,-35.143767639223,-37.286213656302,-35.143767639223,-35.143767639223
-175.5,-81.5,-38.6354225023184,-36.2923581426697,-36.2923581426697,-38.6354225023184,-36.2923581426697,-36.2923581426697
