"longitude","latitude","seasonal_low_temp","cold_dormancy_6mo","hot_dormancy_6mo","cold_acc_temp","cold_acc_temp_dormancy","low_at_min_elev","low_elev_x_cold_dormancy","low_elev_x_hot_dormancy"
-76.5,83.5,-36.4729188693421,-25.031120631764,-25.031120631764,-25.1203447718859,-24.7760889934987,-36.4092988608827,-24.9675006233046,-24.9675006233046
-75.5,83.5,-36.467345291589,-25.02443026471,-25.02443026471,-25.1375889735827,-24.7818774106792,-36.441465476085,-24.998550449206,-24.998550449206
-72.5,83.5,-36.2140709996223,-24.9573843855943,-24.9573843855943,-25.0624847287831,-24.7320434767484,-36.1080166282782,-24.8513300142502,-24.8513300142502
-71.5,83.5,-35.9246317479227,-24.8997089324608,-24.8997089324608,-24.9468355610057,-24.6741515290746,-35.8707387427019,-24.84581592724,-24.84581592724
-70.5,83.5,-35.8299556367099,-24.8946940403875,-24.8946940403875,-24.9216816811209,-24.6671275262617,-35.7079250769119,-24.7726634805895,-24.7726634805895
-46.5,83.5,-35.7549262061715,-25.2639338099176,-25.2639338099176,-25.4225260383196,-25.0752663602744,-35.745157618967,-25.2541652227131,-25.2541652227131
-45.5,83.5,-35.586053567699,-25.3360091237085,-25.3360091237085,-25.4419171750387,-25.1521809741464,-35.4850509366836,-25.2350064926931,-25.2350064926931
-44.5,83.5,-35.5955521426563,-25.4041134620884,-25.4041134620884,-25.5088920640447,-25.1415971667309,-35.3859651648984,-25.1945264843304,-25.1945264843304
-43.5,83.5,-35.8705574846693,-25.5330408893659,-25.5330408893659,-25.6889022051784,-25.2717998755642,-35.5449255243069,-25.2074089290035,-25.2074089290035
-42.5,83.5,-36.0276598047997,-25.5546231445457,-25.5546231445457,-25.7517506889085,-25.1261372205868,-35.8532943359513,-25.3802576756973,-25.3802576756973
-41.5,83.5,-36.2868187189634,-25.5998056767774,-25.5998056767774,-25.8418873924377,-25.148774180906,-36.0672300259755,-25.3802169837895,-25.3802169837895
-40.5,83.5,-36.629003353244,-25.7112009405957,-25.7112009405957,-25.9973366189577,-25.233809449394,-36.3843053210515,-25.4665029084032,-25.4665029084032
-39.5,83.5,-37.0549782854372,-25.8331671536767,-25.8331671536767,-26.1830582090973,-25.3267635373748,-36.7422456375976,-25.5204345058371,-25.5204345058371
-38.5,83.5,-37.8554648943245,-26.2660405599645,-26.2660405599645,-26.683100987846,-25.7200228758522,-37.072376515282,-25.482952180922,-25.482952180922
-37.5,83.5,-38.4915847244007,-26.6188161320718,-26.6188161320718,-27.0844668435168,-26.0389678658469,-37.5289938094052,-25.6562252170763,-25.6562252170763
-36.5,83.5,-38.9337402620486,-26.9016780391801,-26.9016780391801,-27.3939403474909,-26.2997596434534,-38.0026825984352,-25.9706203755667,-25.9706203755667
-35.5,83.5,-39.2213235940252,-27.1129420634093,-27.1129420634093,-27.615552602973,-26.4959211903092,-38.3282670562613,-26.2198855256454,-26.2198855256454
-34.5,83.5,-39.0046153127083,-26.9970761797923,-26.9970761797923,-27.4837220698672,-26.3847382376087,-37.9542128548458,-25.9466737219298,-25.9466737219298
-33.5,83.5,-38.7489002145735,-26.9693531691097,-26.9693531691097,-27.4116387027563,-26.3701649221396,-37.8319308308606,-26.0523837853968,-26.0523837853968
-32.5,83.5,-38.0677840754124,-26.8130030602749,-26.8130030602749,-27.1424472554394,-26.2452921595491,-37.2801869073082,-26.0254058921707,-26.0254058921707
-31.5,83.5,-37.7881743541786,-26.5268190036927,-26.5268190036927,-26.8768958443106,-25.9642810045446,-36.8292064838884,-25.5678511334025,-25.5678511334025
-30.5,83.5,-37.6637582404273,-26.409960163225,-26.409960163225,-26.7825060651266,-25.8565186437319,-36.9192949317539,-25.6654968545516,-25.6654968545516
-29.5,83.5,-37.2887024700642,-26.1690895454426,-26.1690895454426,-26.5360808809927,-25.6332653311597,-36.6155736326999,-25.4959607080783,-25.4959607080783
-28.5,83.5,-36.6975966325828,-25.8174285367397,-25.8174285367397,-26.1583603695668,-25.307927421344,-36.0573796377016,-25.1772115418585,-25.1772115418585
-27.5,83.5,-36.1252730918782,-25.560170107122,-25.560170107122,-25.8586753880768,-25.0822241906534,-35.5579752283603,-24.9928722436041,-24.9928722436041
-26.5,83.5,-35.4053690390927,-25.2264904269461,-25.2264904269461,-25.4484594569994,-24.9379424703019,-35.1621735294557,-24.9832949173091,-24.9832949173091
-88.5,82.5,-37.2713988559587,-25.3548095723703,-25.3548095723703,-25.3907357210802,-25.0350746255846,-37.2523135696314,-25.335724286043,-25.335724286043
-86.5,82.5,-37.7305821316583,-25.480501479008,-25.480501479008,-25.6663838303159,-25.1936922409922,-37.444041368747,-25.1939607160967,-25.1939607160967
-85.5,82.5,-38.2337447771004,-25.6641214041394,-25.6641214041394,-25.9839332708515,-25.4040651531226,-37.8294695442598,-25.2598461712988,-25.2598461712988
-84.5,82.5,-38.9685961944716,-26.0073899203013,-26.0073899203013,-26.4493936530348,-25.564336923672,-38.3846335019376,-25.4234272277673,-25.4234272277673
-83.5,82.5,-39.5234473368951,-26.178980253883,-26.178980253883,-26.6677108991342,-25.6780169571833,-38.9150989947552,-25.5706319117431,-25.5706319117431
-82.5,82.5,-40.148487552149,-26.354332719078,-26.354332719078,-26.912069219371,-25.795223544232,-39.2466210634961,-25.4524662304251,-25.4524662304251
-81.5,82.5,-40.9263180610325,-26.8350528936833,-26.8350528936833,-27.4343126697499,-26.2315551839503,-39.6417161781685,-25.5504510108193,-25.5504510108193
-80.5,82.5,-41.6266069114208,-27.3008887781096,-27.3008887781096,-27.9301652420733,-26.6588454169853,-40.0196682048102,-25.693950071499,-25.693950071499
-79.5,82.5,-42.369993185997,-27.7877958192889,-27.7877958192889,-28.445411051357,-27.1006233937024,-40.5293122016008,-25.9471148348927,-25.9471148348927
-78.5,82.5,-43.3038192336048,-28.4486213646297,-28.4486213646297,-29.1309206434133,-27.7100320491067,-41.9199073926122,-27.0647095236371,-27.0647095236371
-77.5,82.5,-44.1660240147795,-29.2973021571125,-29.2973021571125,-29.9697101491609,-28.5397204027902,-42.8986673346444,-28.0299454769774,-28.0299454769774
-76.5,82.5,-43.7312516880887,-28.9512201033,-28.9512201033,-29.6003209486361,-28.1874767329876,-42.1750390433607,-27.395007458572,-27.395007458572
-75.5,82.5,-43.1507220278893,-28.4572323690202,-28.4572323690202,-29.0840370348223,-27.687470852325,-41.628181285742,-26.9346916268729,-26.9346916268729
-74.5,82.5,-43.6771172219355,-29.065608423017,-29.065608423017,-29.6732101440365,-28.2908328140421,-42.4800028430064,-27.8684940440879,-27.8684940440879
-73.5,82.5,-43.667622779363,-29.1061244328107,-29.1061244328107,-29.7037214836773,-28.3255138331259,-42.2413446014947,-27.6798462549424,-27.6798462549424
-72.5,82.5,-43.5329308700349,-28.9755068638029,-28.9755068638029,-29.5745128026558,-28.1867161768027,-42.139760752299,-27.582336746067,-27.582336746067
-71.5,82.5,-43.7661999718419,-29.3910387453124,-29.3910387453124,-29.9516041729537,-28.6054073117399,-42.5298384953576,-28.1546772688281,-28.1546772688281
-70.5,82.5,-43.1975570967155,-29.0121648765635,-29.0121648765635,-29.5354839789485,-28.2321967705535,-41.5137027351152,-27.3283105149632,-27.3283105149632
-69.5,82.5,-42.730222717779,-28.5127155469639,-28.5127155469639,-29.0547096318451,-27.7286667692984,-41.0077830835089,-26.7902759126938,-26.7902759126938
-68.5,82.5,-42.0079686338348,-27.7572583090747,-27.7572583090747,-28.321405937012,-26.9706434133188,-40.5567406368248,-26.3060303120647,-26.3060303120647
-67.5,82.5,-42.223242400693,-27.9968745391616,-27.9968745391616,-28.571968239956,-27.2130048214042,-41.0076572136768,-26.7812893521454,-26.7812893521454
-66.5,82.5,-41.8247994917844,-27.7777585104939,-27.7777585104939,-28.3413030185239,-27.014994622125,-40.7615548417805,-26.71451386049,-26.71451386049
-65.5,82.5,-41.1611711918243,-27.3430526864565,-27.3430526864565,-27.8865271517446,-26.6064967463847,-40.1979890162952,-26.3798705109274,-26.3798705109274
-64.5,82.5,-40.3727993347815,-26.8767947262935,-26.8767947262935,-27.3863753936688,-26.1773769725671,-39.6216212204318,-26.1256166119438,-26.1256166119438
-63.5,82.5,-39.3935297746743,-26.2963108340104,-26.2963108340104,-26.7599048908591,-25.6425700956363,-38.7486293227747,-25.6514103821108,-25.6514103821108
-62.5,82.5,-38.5954292422959,-25.9159580965277,-25.9159580965277,-26.3254674849468,-25.3067101571721,-38.1007799159752,-25.421308770207,-25.421308770207
-61.5,82.5,-37.6407220484955,-25.447600440593,-25.447600440593,-25.7899828397161,-24.8890062092209,-37.4190926746123,-25.2259710667098,-25.2259710667098
-58.5,82.5,-35.9449330626854,-25.0296561878281,-25.0296561878281,-25.1386322182322,-24.5953762563757,-35.8037287499277,-24.8884518750704,-24.8884518750704
-57.5,82.5,-35.9524012255882,-25.1066092004308,-25.1066092004308,-25.2074567314464,-24.6728736994788,-35.7373341528126,-24.8915421276552,-24.8915421276552
-56.5,82.5,-36.1518994740077,-25.1542149239991,-25.1542149239991,-25.3099953875493,-24.7229511727818,-35.9452299343056,-24.947545384297,-24.947545384297
-55.5,82.5,-36.4361835597881,-25.2820816932086,-25.2820816932086,-25.4943056882447,-24.8546578376767,-36.1513489686184,-24.9972471020389,-24.9972471020389
-54.5,82.5,-36.686891570368,-25.3406275519569,-25.3406275519569,-25.6156171723301,-24.8471872388585,-36.4620321840984,-25.1157681656874,-25.1157681656874
-53.5,82.5,-36.7957624654685,-25.3114266113378,-25.3114266113378,-25.626291858778,-24.8033739574021,-36.5616378523869,-25.0773019982562,-25.0773019982562
-52.5,82.5,-36.9532875517649,-25.3986564525935,-25.3986564525935,-25.7435633783536,-24.8841948340684,-36.9088523737074,-25.354221274536,-25.354221274536
-51.5,82.5,-37.006422915629,-25.39259117712,-25.39259117712,-25.7578261751463,-24.8679628929739,-36.7150168747,-25.101185136191,-25.101185136191
-50.5,82.5,-37.5248392046562,-25.7964075102072,-25.7964075102072,-26.1849577412619,-25.2520960539712,-37.0632259221481,-25.3347942276991,-25.3347942276991
