"range","type","dormancy","realm","r_niche_upper","p_niche_upper","ctmax","r_niche_lower","p_niche_lower","ctmin","warm_under","warm_over","f_warm_over","f_warm_under","cold_under","cold_over","f_cold_over","f_cold_under","species","source","range_area_km2","lat_mp"
"Agkistrodon_contortrix_IUCN","elev_x_dormancy",NA,"Terrestrial",29.2701950073242,34.6883811950684,40.6,1.89922881126404,6.90183258056641,6.9,-5.4181861877442,0,0,11.3298049926758,0,5.00260376930237,22.3701950073242,0,"Agkistrodon contortrix","IUCN",2316042,35.4443343135
"Agroeca_proxima_GBIF","elev_x_dormancy",NA,"Terrestrial",16.097354888916,37.3874206542969,37.4,-8.93200588226318,-6.678147315979,-6.7,-21.2900657653809,0,0,21.302645111084,0,2.25385856628418,22.797354888916,0,"Agroeca proxima","GBIF",1939661,58.2217643426921
"Ameiva_festiva_GBIF","elev_x_dormancy",NA,"Terrestrial",33.4344902038574,35.6810111999512,43.7,13.0961666107178,15.5234613418579,15.5,-2.2465209960938,0,0,10.2655097961426,0,2.4272947311401,17.9344902038574,0,"Ameiva festiva","GBIF",715062,11.3049943135829
"Amphibolurus_muricatus_GBIF","elev_x_dormancy",NA,"Terrestrial",28.8731384277344,38.6394119262695,42.3,4.6081690788269,3.06616616249084,3,-9.7662734985351,0,0,13.4268615722656,-1.54200291633606,0,0,-1.6081690788269,"Amphibolurus muricatus","GBIF",962669,-32.9493709353914
"Amphibolurus_muricatus_IUCN","elev_x_dormancy",NA,"Terrestrial",29.7275447845459,38.6394119262695,42.3,4.6081690788269,3.06616616249084,3,-8.9118671417236,0,0,12.5724552154541,-1.54200291633606,0,0,-1.6081690788269,"Amphibolurus muricatus","IUCN",595237,-29.2588498495
"Anolis_barbouri_GBIF","elev_x_dormancy",NA,"Terrestrial",33.1481971740723,33.9691925048828,34.9,18.2681179046631,12.16370677948,11.7,-0.820995330810497,0,0,1.7518028259277,-6.1044111251831,0,0,-6.5681179046631,"Anolis barbouri","GBIF",10127,18.374260864788
"Anolis_barbouri_GARD","elev_x_dormancy",NA,"Terrestrial",33.1481971740723,33.9691925048828,34.9,16.6779689788818,12.16370677948,11.7,-0.820995330810497,0,0,1.7518028259277,-4.5142621994018,0,0,-4.9779689788818,"Anolis barbouri","GARD",12038,18.525
"Anolis_carolinensis_IUCN","elev_x_dormancy",NA,"Terrestrial",32.9779357910156,35.2057228088379,41.7,-2.83398246765137,4.7215371131897,4.7,-2.2277870178223,0,0,8.72206420898441,0,7.55551958084107,28.2779357910156,0,"Anolis carolinensis","IUCN",1182018,27.2041163755001
"Anolis_cooki_GBIF","elev_x_dormancy",NA,"Terrestrial",30.990592956543,33.9691925048828,38.8,16.9809265136719,12.16370677948,9.3,-2.9785995483398,0,0,7.809407043457,-4.8172197341919,0,0,-7.6809265136719,"Anolis cooki","GBIF",518,17.966031575893
"Anolis_cooki_GARD","elev_x_dormancy",NA,"Terrestrial",30.990592956543,33.9691925048828,38.8,16.9809265136719,12.16370677948,9.3,-2.9785995483398,0,0,7.809407043457,-4.8172197341919,0,0,-7.6809265136719,"Anolis cooki","GARD",557,17.9786522823062
"Anolis_cristatellus_GARD","elev_x_dormancy",NA,"Terrestrial",30.990592956543,33.9691925048828,37.1,16.5919036865234,12.16370677948,8.9,-2.9785995483398,0,0,6.109407043457,-4.4281969070434,0,0,-7.6919036865234,"Anolis cristatellus","GARD",9439,18.3201332092285
"Anolis_cristatellus_GBIF","elev_x_dormancy",NA,"Terrestrial",30.990592956543,33.9691925048828,37.1,16.5919036865234,12.16370677948,8.9,-2.9785995483398,0,0,6.109407043457,-4.4281969070434,0,0,-7.6919036865234,"Anolis cristatellus","GBIF",10238,18.2043655641705
"Anolis_cupreus_GARD","elev_x_dormancy",NA,"Terrestrial",32.3420677185059,33.9691925048828,38.4,16.1049671173096,12.16370677948,11.8,-1.6271247863769,0,0,6.0579322814941,-3.9412603378296,0,0,-4.3049671173096,"Anolis cupreus","GARD",119269,12.6334208137196
"Anolis_cupreus_GBIF","elev_x_dormancy",NA,"Terrestrial",32.5146560668945,33.9691925048828,38.4,13.0961666107178,12.16370677948,11.8,-1.4545364379883,0,0,5.8853439331055,-0.9324598312378,0,0,-1.2961666107178,"Anolis cupreus","GBIF",449052,13.1360424761767
"Anolis_gundlachi_GBIF","elev_x_dormancy",NA,"Terrestrial",30.990592956543,33.4696159362793,35.7,16.5919036865234,12.5151262283325,6.3,-2.4790229797363,0,0,4.709407043457,-4.0767774581909,0,0,-10.2919036865234,"Anolis gundlachi","GBIF",7283,18.191452980121
"Anolis_gundlachi_GARD","elev_x_dormancy",NA,"Terrestrial",30.990592956543,33.4696159362793,35.7,16.5919036865234,12.5151262283325,6.3,-2.4790229797363,0,0,4.709407043457,-4.0767774581909,0,0,-10.2919036865234,"Anolis gundlachi","GARD",6382,18.2442308321046
"Anolis_humilis_GARD","elev_x_dormancy",NA,"Terrestrial",30.1092224121094,33.9691925048828,35.6,16.0497856140137,12.408145904541,12.4,-3.8599700927734,0,0,5.4907775878906,-3.6416397094727,0,0,-3.6497856140137,"Anolis humilis","GARD",65157,8.87777278201004
"Anolis_humilis_GBIF","elev_x_dormancy",NA,"Terrestrial",32.0223121643066,33.9691925048828,35.6,16.0497856140137,12.408145904541,12.4,-1.9468803405762,0,0,3.5776878356934,-3.6416397094727,0,0,-3.6497856140137,"Anolis humilis","GBIF",58560,9.73818284477619
"Anolis_intermedius_GARD","elev_x_dormancy",NA,"Terrestrial",29.8743267059326,33.9691925048828,38.4,16.516227722168,12.16370677948,11.1,-4.0948657989502,0,0,8.5256732940674,-4.352520942688,0,0,-5.416227722168,"Anolis intermedius","GARD",4835,10.3250985260093
"Anolis_lemurinus_GARD","elev_x_dormancy",NA,"Terrestrial",33.9691925048828,35.6810111999512,37.3,13.0961666107178,12.9040250778198,12.9,-1.7118186950684,0,0,3.3308074951172,-0.192141532898001,0,0,-0.1961666107178,"Anolis lemurinus","GARD",477488,13.6113918075859
"Anolis_limifrons_GARD","elev_x_dormancy",NA,"Terrestrial",32.3420677185059,35.6810111999512,36.8,15.7697143554688,12.3045568466187,12.3,-3.3389434814453,0,0,4.4579322814941,-3.4651575088501,0,0,-3.4697143554688,"Anolis limifrons","GARD",211406,11.5941038133903
"Anolis_limifrons_GBIF","elev_x_dormancy",NA,"Terrestrial",33.9691925048828,35.6810111999512,36.8,13.0961666107178,12.3045568466187,12.3,-1.7118186950684,0,0,2.8308074951172,-0.7916097640991,0,0,-0.796166610717799,"Anolis limifrons","GBIF",742107,14.4037098735931
"Anolis_lionotus_IUCN","elev_x_dormancy",NA,"Terrestrial",30.1092224121094,33.9691925048828,36.7,16.0497856140137,14.7105588912964,14.7,-3.8599700927734,0,0,6.5907775878906,-1.3392267227173,0,0,-1.3497856140137,"Anolis lionotus","IUCN",25674,8.36645942300004
"Anolis_tropidolepis_GARD","elev_x_dormancy",NA,"Terrestrial",32.0223121643066,33.0106201171875,33.1,16.516227722168,12.16370677948,9.5,-0.988307952880902,0,0,1.0776878356934,-4.352520942688,0,0,-7.016227722168,"Anolis tropidolepis","GARD",6104,10.1904175014915
"Anolis_tropidolepis_GBIF","elev_x_dormancy",NA,"Terrestrial",32.0223121643066,33.0106201171875,33.1,16.516227722168,12.16370677948,9.5,-0.988307952880902,0,0,1.0776878356934,-4.352520942688,0,0,-7.016227722168,"Anolis tropidolepis","GBIF",14299,10.109196849811
"Austrelaps_superbus_GBIF","elev_x_dormancy",NA,"Terrestrial",25.7158603668213,38.6394119262695,41.2,1.88901960849762,3.06616616249084,3,-12.9235515594482,0,0,15.4841396331787,0,1.17714655399322,22.7158603668213,0,"Austrelaps superbus","GBIF",557010,-38.2434856806662
