"range","sensitivity_type","genus_species","source","realm","dormancy","filling_type","filling_value","lat_mp","range_area_km2","edge_type","type","Realm","data_gatherer","Genus","Species","Family","Kingdom","Phylum","Class","Order","maximum_body_size_SVL_HBL_cm_","Source_for_maximum_body_size","notes_on_body_size_e_g_type_of_metric_","Trophic_position","Source_logic_for_trophic_position","migratory_","source_logic_for_migration_info","dispersal_distance_category","logic_source_for_dispersal_distance","dispersal_type_walking_may_need_to_be_reworded_to_something_that_encaptures_slithering_","logic_source_for_dispersal_type","cold_season_dormancy_","source_logic_for_cold_season_dormancy","notes_for_cold_season_dormancy","hot_season_dormancy_","source_logic_for_hot_season_dormancy","notes_for_hot_season_dormancy","highland_specialist","source_logic_for_highland_specialist","Pelagic_habitat_for_marine_species_","source_logic_for_pelagic_habitat","limit_type","habitat_data_gatherer","coastal_or_oceanic","notes_logic","coastal_or_oceanic_source","upper_depth_limit","lower_depth_limit","usual_range","depth_distribution_source","upper_elevation_limit_meters","lower_elevation_limit_meters","elevational_range_source","Pelagic_habitat_.for_marine_species.","notes","metric"
"Agkistrodon_contortrix_IUCN","elev_x_dormancy","Agkistrodon_contortrix","IUCN","Terrestrial",NA,"cold_over",5.00260376930237,35.4443343135,2316042,"cold","min","Terrestrial","Miguel R.","Agkistrodon","contortrix","Viperidae","Animalia","Chordata","Reptilia","Squamata",135,"ADW U of Michigan","max total length","carnivore","ADW U of Michigan","No","there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour","1-10","Smith, C. F., Schuett, G. W., Earley, R. L., & Schwenk, K. (2009). The spatial and reproductive ecology of the copperhead (Agkistrodon contortrix) at the northeastern extreme of its range. Herpetological Monographs, 23(1), 45-73.","slithering","Squamate slithering tetrapod","Yes","Grimm A, Ramírez AMP, Moulherat S, Reynaud J, Henle K (2014) Life-history trait database of European reptile species. Nature Conservation 9: 45-67. https://doi.org/10.3897/natureconservation.9.8908","based on species with same genus","No","no info - based on climate",NA,"non-highland specialist","ADW",NA,"terrestrial","max, min",NA,NA,NA,NA,NA,NA,NA,NA,914,0,"Snake Database",NA,NA,"ct"
"Agkistrodon_contortrix_IUCN","Te_best","Agkistrodon_contortrix","IUCN","terrestrial",NA,"cold_over",15.3163390159607,NA,NA,"cold","min","Terrestrial","Miguel R.","Agkistrodon","contortrix","Viperidae","Animalia","Chordata","Reptilia","Squamata",135,"ADW U of Michigan","max total length","carnivore","ADW U of Michigan","No","there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour","1-10","Smith, C. F., Schuett, G. W., Earley, R. L., & Schwenk, K. (2009). The spatial and reproductive ecology of the copperhead (Agkistrodon contortrix) at the northeastern extreme of its range. Herpetological Monographs, 23(1), 45-73.","slithering","Squamate slithering tetrapod","Yes","Grimm A, Ramírez AMP, Moulherat S, Reynaud J, Henle K (2014) Life-history trait database of European reptile species. Nature Conservation 9: 45-67. https://doi.org/10.3897/natureconservation.9.8908","based on species with same genus","No","no info - based on climate",NA,"non-highland specialist","ADW",NA,"terrestrial","max, min",NA,NA,NA,NA,NA,NA,NA,NA,914,0,"Snake Database",NA,NA,"ct"
"Agkistrodon_contortrix_IUCN","elev_x_dormancy","Agkistrodon_contortrix","IUCN","Terrestrial",NA,"warm_under",-5.4181861877442,35.4443343135,2316042,"warm","min","Terrestrial","Miguel R.","Agkistrodon","contortrix","Viperidae","Animalia","Chordata","Reptilia","Squamata",135,"ADW U of Michigan","max total length","carnivore","ADW U of Michigan","No","there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour","1-10","Smith, C. F., Schuett, G. W., Earley, R. L., & Schwenk, K. (2009). The spatial and reproductive ecology of the copperhead (Agkistrodon contortrix) at the northeastern extreme of its range. Herpetological Monographs, 23(1), 45-73.","slithering","Squamate slithering tetrapod","Yes","Grimm A, Ramírez AMP, Moulherat S, Reynaud J, Henle K (2014) Life-history trait database of European reptile species. Nature Conservation 9: 45-67. https://doi.org/10.3897/natureconservation.9.8908","based on species with same genus","No","no info - based on climate",NA,"non-highland specialist","ADW",NA,"terrestrial","max, min",NA,NA,NA,NA,NA,NA,NA,NA,914,0,"Snake Database",NA,NA,"ct"
"Agkistrodon_contortrix_IUCN","Te_best","Agkistrodon_contortrix","IUCN","terrestrial",NA,"warm_under",-0.362579345703196,NA,NA,"warm","min","Terrestrial","Miguel R.","Agkistrodon","contortrix","Viperidae","Animalia","Chordata","Reptilia","Squamata",135,"ADW U of Michigan","max total length","carnivore","ADW U of Michigan","No","there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour","1-10","Smith, C. F., Schuett, G. W., Earley, R. L., & Schwenk, K. (2009). The spatial and reproductive ecology of the copperhead (Agkistrodon contortrix) at the northeastern extreme of its range. Herpetological Monographs, 23(1), 45-73.","slithering","Squamate slithering tetrapod","Yes","Grimm A, Ramírez AMP, Moulherat S, Reynaud J, Henle K (2014) Life-history trait database of European reptile species. Nature Conservation 9: 45-67. https://doi.org/10.3897/natureconservation.9.8908","based on species with same genus","No","no info - based on climate",NA,"non-highland specialist","ADW",NA,"terrestrial","max, min",NA,NA,NA,NA,NA,NA,NA,NA,914,0,"Snake Database",NA,NA,"ct"
"Agroeca_proxima_GBIF","elev_x_dormancy","Agroeca_proxima","GBIF","Terrestrial",NA,"cold_over",2.25385856628418,58.2217643426921,1939661,"cold","min","Terrestrial","Susana","Agroeca","proxima","Liocranidae","Animalia","Arthropoda","Arachnida","Araneae",0.35,"Almquist (1971) Oikos 22: 225-229","Body size is mean body length (mm).","carnivore","guess based on","N","spider","1-10","no info - lots of mentions of aerial dispersal in literature","walking","Ozkutuk et al. (2011) Biological Diversity and Conservation 4: 224-232","Yes","Sudd, J. H. (1972). The seasons of activity of some spiders at Spurn Head, East Yorkshire. Bull. Br. arachnol. Soc, 2(6), 104-107.","activity only in Autumn suggests inactive in winter","No","no info - based on climate",NA,"N","Almquist (1971) Oikos 22: 225-229",NA,"terrestrial","max, min",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LT50"
"Agroeca_proxima_GBIF","Te_best","Agroeca_proxima","GBIF","terrestrial",NA,"cold_over",2.63605928421021,NA,NA,"cold","min","Terrestrial","Susana","Agroeca","proxima","Liocranidae","Animalia","Arthropoda","Arachnida","Araneae",0.35,"Almquist (1971) Oikos 22: 225-229","Body size is mean body length (mm).","carnivore","guess based on","N","spider","1-10","no info - lots of mentions of aerial dispersal in literature","walking","Ozkutuk et al. (2011) Biological Diversity and Conservation 4: 224-232","Yes","Sudd, J. H. (1972). The seasons of activity of some spiders at Spurn Head, East Yorkshire. Bull. Br. arachnol. Soc, 2(6), 104-107.","activity only in Autumn suggests inactive in winter","No","no info - based on climate",NA,"N","Almquist (1971) Oikos 22: 225-229",NA,"terrestrial","max, min",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LT50"
"Agroeca_proxima_GBIF","elev_x_dormancy","Agroeca_proxima","GBIF","Terrestrial",NA,"warm_under",-21.2900657653809,58.2217643426921,1939661,"warm","min","Terrestrial","Susana","Agroeca","proxima","Liocranidae","Animalia","Arthropoda","Arachnida","Araneae",0.35,"Almquist (1971) Oikos 22: 225-229","Body size is mean body length (mm).","carnivore","guess based on","N","spider","1-10","no info - lots of mentions of aerial dispersal in literature","walking","Ozkutuk et al. (2011) Biological Diversity and Conservation 4: 224-232","Yes","Sudd, J. H. (1972). The seasons of activity of some spiders at Spurn Head, East Yorkshire. Bull. Br. arachnol. Soc, 2(6), 104-107.","activity only in Autumn suggests inactive in winter","No","no info - based on climate",NA,"N","Almquist (1971) Oikos 22: 225-229",NA,"terrestrial","max, min",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LT50"
"Agroeca_proxima_GBIF","Te_best","Agroeca_proxima","GBIF","terrestrial",NA,"warm_under",-11.8671989440918,NA,NA,"warm","min","Terrestrial","Susana","Agroeca","proxima","Liocranidae","Animalia","Arthropoda","Arachnida","Araneae",0.35,"Almquist (1971) Oikos 22: 225-229","Body size is mean body length (mm).","carnivore","guess based on","N","spider","1-10","no info - lots of mentions of aerial dispersal in literature","walking","Ozkutuk et al. (2011) Biological Diversity and Conservation 4: 224-232","Yes","Sudd, J. H. (1972). The seasons of activity of some spiders at Spurn Head, East Yorkshire. Bull. Br. arachnol. Soc, 2(6), 104-107.","activity only in Autumn suggests inactive in winter","No","no info - based on climate",NA,"N","Almquist (1971) Oikos 22: 225-229",NA,"terrestrial","max, min",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LT50"
"Ameiva_festiva_GBIF","elev_x_dormancy","Ameiva_festiva","GBIF","Terrestrial",NA,"cold_over",2.4272947311401,11.3049943135829,715062,"cold","min","Terrestrial","Ignacio","Ameiva","festiva","Teiidae","Animalia","Chordata","Reptilia","Squamata",88.2,"Meiri 2008","max adult SVL","insectivore","http://eol.org/","No","there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour","0-1","No data on this in most species however presumably most do not disperse more than 1km in a single generation (exceptions: Iguana iguana, Varanus)","walking","Squamate walking tetrapod","No","no info - based on climate",NA,"No","no info - based on climate",NA,"non-highland specialist","Ramírez-Morales, R., Lislevand, T., Retana-Salazar, A., Solhøy, T., & Roth, S. (2012). Ectoparasite loads of the Central American whiptail lizard Ameiva festiva (Squamata: Teiidae). The Herpetological Journal, 22(3), 151-155.",NA,"terrestrial","max, min",NA,NA,NA,NA,NA,NA,NA,NA,1435,0,"IUCN",NA,"Changed name from Ameiva festiva to Holcosus festivus","ct"
"Ameiva_festiva_GBIF","Te_best","Ameiva_festiva","GBIF","terrestrial",NA,"cold_over",13.718291759491,NA,NA,"cold","min","Terrestrial","Ignacio","Ameiva","festiva","Teiidae","Animalia","Chordata","Reptilia","Squamata",88.2,"Meiri 2008","max adult SVL","insectivore","http://eol.org/","No","there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour","0-1","No data on this in most species however presumably most do not disperse more than 1km in a single generation (exceptions: Iguana iguana, Varanus)","walking","Squamate walking tetrapod","No","no info - based on climate",NA,"No","no info - based on climate",NA,"non-highland specialist","Ramírez-Morales, R., Lislevand, T., Retana-Salazar, A., Solhøy, T., & Roth, S. (2012). Ectoparasite loads of the Central American whiptail lizard Ameiva festiva (Squamata: Teiidae). The Herpetological Journal, 22(3), 151-155.",NA,"terrestrial","max, min",NA,NA,NA,NA,NA,NA,NA,NA,1435,0,"IUCN",NA,"Changed name from Ameiva festiva to Holcosus festivus","ct"
"Ameiva_festiva_GBIF","Te_best","Ameiva_festiva","GBIF","terrestrial",NA,"perfect_warm",0,NA,NA,"warm","min","Terrestrial","Ignacio","Ameiva","festiva","Teiidae","Animalia","Chordata","Reptilia","Squamata",88.2,"Meiri 2008","max adult SVL","insectivore","http://eol.org/","No","there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour","0-1","No data on this in most species however presumably most do not disperse more than 1km in a single generation (exceptions: Iguana iguana, Varanus)","walking","Squamate walking tetrapod","No","no info - based on climate",NA,"No","no info - based on climate",NA,"non-highland specialist","Ramírez-Morales, R., Lislevand, T., Retana-Salazar, A., Solhøy, T., & Roth, S. (2012). Ectoparasite loads of the Central American whiptail lizard Ameiva festiva (Squamata: Teiidae). The Herpetological Journal, 22(3), 151-155.",NA,"terrestrial","max, min",NA,NA,NA,NA,NA,NA,NA,NA,1435,0,"IUCN",NA,"Changed name from Ameiva festiva to Holcosus festivus","ct"
