Data used in the analysis.  Please note that blank fields indicate that data were not provided in the original publication.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,marine,,adult,,,,,enzymes: U/g tissue; metabolic rate = MR: umol/g/h; locomotion: BL/s,,,,,,acclimatization temps for terrestrial or large animals = mean body temperatures,,variation as s.e.,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,freshwater,wild,juv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,terrestrial,captive,larva,,,,,,,,,,ACCLIMATION DATA,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,place,decimal,,,"acclimation=1, acclimatization = 2",length of ,,,,acclimation and test T,,Trait values,,,,,,,,,,,,,,Abs(PostAcclimation-1),Log(previous col. +0.001),LogPA2*-1,,,,NOTES,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phylum,Class,Order,Family,Genus,Species,Species2,Body.mass (kg),Body.mass (g),LogMass,Ex vs In situ,Source for body mass,Habitat,source,life hist,Geo location,lat,absLatitude,long,ation vs ization,accl period (days),LogAcclPeriod,Trait,details,1,2,"R1,1",se,N,"R1,2",se,N,"R2,1",se,N,"R2,2",se,N,Q10Cold,PostAcclimation,Abs(PostAcclimation-1),LogPA2,NegLogPA2,MeanN,MeanSE,a,b,c,Lit source,Missing
Chordata,Actinopterygii,Scorpaeniformes,Cottidae,Myoxocephalus ,scorpius ,Myoxocephalus  scorpius ,0.172000000,172.000000000,2.235528447,ex situ,"Ball, D. and I. A. Johnston (1996). ""Molecular mechanisms underlying the plasticity of muscle contractile properties with temperature acclimation in the marine fish Myoxocephalus scorpius."" Journal of Experimental Biology 199(6): 1363-1373.",m,w,a,"St Andrews, Scotland",56.3404,56.3404,-2.7955,1,50,1.698970004,velocity,muscle,5,15,3.5,0.8,10,4.1,0.2,10,2.8,1,10,6.2,0.8,10,1.171428571,1.771428571,0.771428571,-0.11214167,0.11214167,10,0.600,,L s-1,,"Ball, D. and I. A. Johnston (1996). ""Molecular mechanisms underlying the plasticity of muscle contractile properties with temperature acclimation in the marine fish Myoxocephalus scorpius."" Journal of Experimental Biology 199(6): 1363-1373.",Complete
Chordata,Actinopterygii,Scorpaeniformes,Cottidae,Myoxocephalus ,scorpius ,Myoxocephalus  scorpius ,0.172000000,172.000000000,2.235528447,ex situ,"Ball, D. and I. A. Johnston (1996). ""Molecular mechanisms underlying the plasticity of muscle contractile properties with temperature acclimation in the marine fish Myoxocephalus scorpius."" Journal of Experimental Biology 199(6): 1363-1373.",m,w,a,"St Andrews, Scotland",56.3404,56.3404,-2.7955,1,50,1.698970004,tension,muscle,5,15,97,15,10,147,15,10,110,12,10,108,10,10,1.515463918,1.113402062,0.113402062,-0.941566148,0.941566148,10,13.333,,kN m-2,,"Ball, D. and I. A. Johnston (1996). ""Molecular mechanisms underlying the plasticity of muscle contractile properties with temperature acclimation in the marine fish Myoxocephalus scorpius."" Journal of Experimental Biology 199(6): 1363-1373.",Complete
Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,morhua,Gadus morhua,0.910000000,910.000000000,2.959041392,in situ,"Lurman et al 2009 J Comp Physiol B 179, 623-633",m,w,a,"Helgoland, Germany",54.15,54.15,7.9,1,365,2.562292864,swim,sustained,4,10,0.7,0.05,6,0.76,0.03,6,0.76,0.02,6,0.9,0.05,6,1.146900971,1.520223526,0.520223526,-0.28297599,0.28297599,6,0.043,,confound temp. and body mass,,"Lurman et al 2009 J Comp Physiol B 179, 623-635",Complete
Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,morhua,Gadus morhua,0.910000000,910.000000000,2.959041392,in situ,"Lurman et al 2009 J Comp Physiol B 179, 623-633",m,w,a,"Tromso, Norway",69.65,69.65,18.9,1,365,2.562292864,swim,sustained,4,10,0.72,0.01,6,0.77,0.035,6,0.72,0.01,6,0.8,0.05,6,1.118399715,1.191962203,0.191962203,-0.714527751,0.714527751,6,0.032,,confound temp. and body mass,,"Lurman et al 2009 J Comp Physiol B 179, 623-638",Complete
Chordata,Actinopterygii,Scorpaeniformes,Cottidae,Myoxocephalus ,scorpius ,Myoxocephalus  scorpius ,0.400000000,400.000000000,2.602059991,in situ,http://jeb.biologists.org/content/jexbio/201/7/913.full.pdf,m,w,a,"St Andrews, Scotland",56.3404,56.3404,-2.7955,1,50,1.698970004,Swim,velocity,5,15,0.8,0.1,6,0.98,0.06,8,,,,1.3,0.07,5,1.225,1.625,0.625,-0.203425667,0.203425667,6.333333333,0.077,,m/s,,"Beddow, T. A., J. L. Vanleeuwen, et al. (1995). ""SWIMMING KINEMATICS OF FAST STARTS ARE ALTERED BY TEMPERATURE-ACCLIMATION IN THE MARINE FISH MYOXOCEPHALUS-SCORPIUS."" Journal of Experimental Biology 198(1): 203-208.",Complete
Chordata,Actinopterygii,Scorpaeniformes,Cottidae,Myoxocephalus ,scorpius ,Myoxocephalus  scorpius ,0.400000000,400.000000000,2.602059991,in situ,http://jeb.biologists.org/content/jexbio/201/7/913.full.pdf,m,w,a,"St Andrews, Scotland",56.3404,56.3404,-2.7955,1,50,1.698970004,Swim,acceleration,5,15,16.16,4.17,6,18.41,1.88,8,,,,22.04,2.88,5,1.139232673,1.363861386,0.363861386,-0.437872096,0.437872096,6.333333333,2.977,,m/s2,,"Beddow, T. A., J. L. Vanleeuwen, et al. (1995). ""SWIMMING KINEMATICS OF FAST STARTS ARE ALTERED BY TEMPERATURE-ACCLIMATION IN THE MARINE FISH MYOXOCEPHALUS-SCORPIUS."" Journal of Experimental Biology 198(1): 203-208.",Complete
Chordata,Reptilia,Crocodylia,Crocodilidae,Crocodylus,porosus,Crocodylus porosus,0.177000000,177.000000000,2.247973266,in situ,"Glanville and Seebacher 2006 JEB 209, 4869-4877",f,c,j,"Darwin, Australia",12.45,12.45,130.86,1,33,1.51851394,swim,sustained,20,29,1.03,0.02,8,0.68,0.01,8,0.65,0.015,9,1.11,0.01,9,0.630427586,1.086664007,0.086664007,-1.057178683,1.057178683,8.333333333,0.013,,,,"Glanville and Seebacher 2006 JEB 209, 4869-4877",Complete
Chordata,Actinopterygii,Perciformes,Nototheniidae,Pagothenia,borchgrevincki,Pagothenia borchgrevincki,0.093300000,93.300000000,1.969881644,in situ,"Robinson and Davidson 2008 J Fish Biol 73, 1676-1689",m,w,a,"Scott Base, Antarctica",77.85,77.85,166.75,1,26,1.414973348,swim,sustained,-1,4,1.88,0.06,8,1.56,0.05,16,1.71,0.11,16,2.04,0.11,8,0.688546854,1.177455862,0.177455862,-0.748469181,0.748469181,10.66666667,0.073,,,,"Robinson and Davidson 2008 J Fish Biol 73, 1676-1690",Complete
Chordata,Actinopterygii,Perciformes,Nototheniidae,Pagothenia,borchgrevincki,Pagothenia borchgrevincki,0.090000000,90.000000000,1.954242509,in situ,"Franklin et al 2007 JEB 210, 3068-3074",m,w,a,"Scott Base, Antarctica",77.85,77.85,166.75,1,42,1.62324929,swim,sustained,-1,4,2.03,0.07,10,1.5,0.08,10,1.9,0.03,10,1.98,0.02,10,0.545997234,0.95134558,0.04865442,-1.304042085,1.304042085,10,0.057,,,,"Seebacher et al. 2005 Biol Lett 1, 151-154",Complete
