Genus,Species,Tmax,max_metric,max_interval_after_LT0,Tmax_2,max_metric_2,max_interval_before_LT100,max_pretreatment,max_ramp,lat_max,long_max,elevation_max,REF_max,location_max,tmin,min_metric,min_interval_after_LT0,tmin_2,min_metric_2,min_interval_before_LT100,min_pretreatment,ramp_min,lat_min,long_min,elevation_min,REF_min,location_min,Phylum,Class,Order,Family,Quality of UTNZ,species_full,Genus_old,Species_old,species_full_old,Realm,Realm.1,Realm.2,Entry number
Abra,tenuis,33.44,LT50,,,,,5,,53,5,0,Compton_et_al2007,1,-1.68,LT50,,,,,5,,53,5,0,Compton_et_al2007,1,Mollusca,Bivalvia,Veneroida,Semelidae,,Abra_tenuis,Abra,tenuis,Abra_tenuis,Intertidal,Marine,Marine,1
Abrotanella,patearoa,,,,,,,,,,,,,,-7.5,LT50,,,,,F,0.083,-45.4,170.1,1240,Bannister_et_al_2005,1,Streptophyta,Spermatophyta,Asterales,Asteraceae,,Abrotanella_patearoa,Abrotanella,patearoa,Abrotanella_patearoa,Terrestrial,Terrestrial,Terrestrial,1
Abrothrix,andinus,34,UTNZ,,,,,,,-34.46,-71.22,,Bozinovic_&_Rosenmann_1988,2,26.8,LTNZ,,,,,,,-34.46,-71.22,,Bozinovic_&_Rosenmann_1988,2,Chordata,Mammalia,Rodentia,Cricetidae,1,Abrothrix_andinus,Abrothrix,andinus,Abrothrix_andinus,Terrestrial,Terrestrial,Terrestrial,1
Abrothrix,longipilis,32,UTNZ,,,,,,,-45.54,-71.22,,Bozinovic_&_Rosenmann_1988,2,27.3,LTNZ,,,,,,,-45.54,-71.22,,Bozinovic_&_Rosenmann_1988,2,Chordata,Mammalia,Rodentia,Cricetidae,1,Abrothrix_longipilis,Abrothrix,longipilis,Abrothrix_longipilis,Terrestrial,Terrestrial,Terrestrial,1
Abrothrix,olivaceus,,,,,,,,,,,,,,26.3,LTNZ,,,,,,,-34.46,-71.23,,Bozinovic_&_Rosenmann_1988,2,Chordata,Mammalia,Rodentia,Cricetidae,,Abrothrix_olivaceus,Abrothrix,olivaceus,Abrothrix_olivaceus,Terrestrial,Terrestrial,Terrestrial,1
Abudefduf,saxatilis,40,LT100,,,,,,,9.5,-78,0,Scholander_et_al1953,2,10,LT100,,,,,,,9.5,-78,0,Scholander_et_al1953,2,Chordata,Actinopteri,Perciformes,Pomacentridae,,Abudefduf_saxatilis,Abudefduf,saxatilis,Abudefduf_saxatilis,Marine,Marine,Marine,1
Acacia,melanoxylon,,,,,,,,,,,,,,-7.9,LT50,,,,,F,,,,,Bannister_&_Lord_2010,2,Streptophyta,Spermatophyta,Fabales,Fabaceae,,Acacia_melanoxylon,Acacia,melanoxylon,Acacia_melanoxylon,Terrestrial,Terrestrial,Terrestrial,1
Acanthodactylus,erythrurus,46.3,ctmax,,,,,35,1,36.97,-2.4,585,Bauwens_et_al_1995,2,,,,,,,,,,,,,,Chordata,Lepidosauria,Squamata,Lacertidae,,Acanthodactylus_erythrurus,Acanthodactylus,erythrurus,Acanthodactylus_erythrurus,Terrestrial,Terrestrial,Terrestrial,1
Acanthomyops,sp.1,40,ctmax,,,,,25,0.2,36.04,-79.07,180,Diamond_et_al_2012,1,,,,,,,,,,,,,,Arthropoda,Insecta,Hymenoptera,Formicidae,,Acanthomyops_sp.1,Acanthomyops,sp.,Acanthomyops_sp.1,Terrestrial,Terrestrial,Terrestrial,1
Acanthophora,spicifera,35,LT0,5,40,LT100,5,,,17.953043,-67.154763,0,Biebl_1962,1,14,LT0,3,11,LT100,3,,,17.953043,-67.154763,0,Biebl_1962,1,Rhodophyta,Florideophyceae,Ceramiales,Rhodomelaceae,,Acanthophora_spicifera,Acanthophora,spicifera,Acanthophora_spicifera,Intertidal,Marine,Marine,1
