Family,species,mean annual temeprature,mean body temperature,mean seasonal temperature,activity period,latitudinal centroid,maximum body mass,mean female mass,hatchling mass,basis of female mass estimate,insular endemic?,Activity time,substrate,diet,reproduction,Red List status,Population trend,mean body temperature,body temperatrue references
Agamidae,Acanthocercus atricollis,20.3,39.8,20.3,all,-15.0,2.09,1.59,-0.11,female SVL,no,Diurnal,air,Carnivorous,Oviparous,LC,stable,39.8,Curry-Lindahl 1979
Agamidae,Acanthocercus yemensis,20.6,29.0,20.6,all,15.8,1.78,1.56,NA,female SVL,no,Diurnal,air,Omnivorous,Oviparous,NE,NE,29.0,Al-Johany 1995
Agamidae,Agama agama,24.9,35.9,24.9,all,10.0,1.91,1.23,-0.19,female SVL,no,Diurnal,air,Omnivorous,Oviparous,NE,NE,35.9,"Muchlinski et al. 1995, Bowker 1984"
Agamidae,Agama atra,16.2,37.9,19.4,oct_apr,-30.0,1.82,1.20,NA,female SVL,no,Diurnal,air,Omnivorous,Oviparous,NE,NE,37.9,Curry-Lindahl 1979
Agamidae,Agama hispida,16.5,36.4,19.8,oct_apr,-31.0,1.76,1.35,NA,female SVL,no,Diurnal,air,Carnivorous,Oviparous,LC,unknown,36.4,"Huey and Pianka 2007, Pianka 1986, Curry-Lindahl 1979, Huey and Pianka 1977"
Agamidae,Agama planiceps,20.1,39.8,20.1,all,-20.1,1.90,1.19,0.00,female SVL,no,Diurnal,air,Omnivorous,Oviparous,NE,NE,39.8,Curry-Lindahl 1979
Agamidae,Amphibolurus muricatus,15.5,35.4,18.0,oct_apr,-32.0,1.67,1.24,-0.19,female SVL,no,Diurnal,air,Carnivorous,Oviparous,NE,NE,35.4,Greer 1989
Agamidae,Caimanops amphiboluroides,21.1,36.6,26.2,oct_apr,-27.0,1.29,0.94,0.31,mean species SVL,no,Diurnal,air,Carnivorous,Oviparous,NE,NE,36.6,"Pianka 1986, Greer 1989"
Agamidae,Calotes calotes,25.5,26.7,25.5,all,16.0,1.82,1.43,NA,female SVL,no,Diurnal,air,Carnivorous,Oviparous,NE,NE,26.7,Meek et al. 2005
Agamidae,Calotes liocephalus,24.2,22.9,24.2,all,7.3,1.37,1.18,-0.43,female SVL,yes,Diurnal,air,Carnivorous,Oviparous,EN,NA,22.9,Meek et al. 2005
Agamidae,Calotes liolepis,23.5,30.0,23.5,all,6.8,1.37,0.87,NA,female SVL,yes,Diurnal,air,Carnivorous,Oviparous,NE,NE,30.0,Meek et al. 2005
Agamidae,Calotes versicolor,21.5,30.9,21.5,all,23.0,1.91,1.18,-0.58,female SVL,no,Diurnal,air,Carnivorous,Oviparous,NE,NE,30.9,Meek et al. 2005
Agamidae,Ceratophora tennentii,23.8,21.6,23.8,all,7.4,1.23,0.93,NA,female SVL,yes,Diurnal,air,Carnivorous,Oviparous,EN,NA,21.6,"de Silva et al. 2005, Meek et al. 2005"
Agamidae,Chlamydosaurus kingii,24.8,34.8,24.8,all,-18.0,2.79,2.40,0.21,female SVL,no,Diurnal,air,Carnivorous,Oviparous,LC,unknown,34.8,Christian and Bedford 1995
Agamidae,Cophotis ceylanica,20.8,26.7,20.8,all,6.9,0.84,0.70,-0.95,female SVL,yes,Diurnal,air,Carnivorous,Viviparous,NE,NE,26.7,Meek et al. 2005
Agamidae,Ctenophorus caudicinctus,24.6,34.0,24.6,all,-21.0,1.39,0.84,-0.59,female SVL,no,Diurnal,air,Carnivorous,Oviparous,NE,NE,34.0,"Light et al. 1966, Huey and Pianka 2007, Bradshaw and Main 1968, Melville and Schulte 2001, Greer 1989, Heatwole and Taylor 1987, Curry-Lindahl 1979, Licht et al. 1966"
Agamidae,Ctenophorus clayi,22.1,36.6,29.1,oct_apr,-25.0,0.65,0.20,-0.53,female SVL,no,Diurnal,air,Omnivorous,Oviparous,NE,NE,36.6,"Huey and Pianka 2007, Pianka 1986, Greer 1989"
Agamidae,Ctenophorus fordi,18.2,37.0,21.1,oct_apr,-31.0,0.65,0.50,-0.56,female SVL,no,Diurnal,air,Carnivorous,Oviparous,NE,NE,37.0,"Huey and Pianka 2007, Pianka 1986, Greer 1989, Heatwole and Taylor 1987"
Agamidae,Ctenophorus isolepis,23.0,40.5,28.1,oct_apr,-24.0,1.12,0.69,-0.43,female SVL,no,Diurnal,air,Carnivorous,Oviparous,NE,NE,40.5,"Pianka 1971, Pianka 1986, Melville and Schulte 2001, Greer 1989, Heatwole and Taylor 1987"
Agamidae,Ctenophorus maculosus,20.0,38.4,24.6,oct_apr,-30.0,0.90,0.65,-0.35,female SVL,no,Diurnal,air,Carnivorous,Oviparous,LC,unknown,38.4,"Mitchell 1973, Heatwole and Taylor 1987"
Agamidae,Ctenophorus nuchalis,22.2,39.8,27.0,oct_apr,-25.0,1.69,1.18,-0.05,female SVL,no,Diurnal,air,Omnivorous,Oviparous,LC,unknown,39.8,"Light et al. 1966, Huey and Pianka 2007, Bradshaw and Main 1968, MacMillen et al. 1989, Pianka 1986, Melville and Schulte 2001, Greer 1989, Heatwole and Taylor 1987, Curry-Lindahl 1979, Licht et al. 1966"
Agamidae,Ctenophorus ornatus,17.9,38.1,21.2,oct_apr,-31.0,1.30,1.07,-0.03,female SVL,no,Diurnal,air,Carnivorous,Oviparous,LC,unknown,38.1,"Bradshaw and Main 1968, Greer 1989, Heatwole and Taylor 1987 give a range 28.8-39.6 but do not provide a mean so I ignore it, Licht et al. 1966, "
Agamidae,Ctenophorus pictus,19.1,34.2,20.8,oct_apr,-30.0,0.99,0.63,NA,female SVL,no,Diurnal,air,Carnivorous,Oviparous,NE,NE,34.2,"Melville and Schulte 2001, Heatwole and Taylor 1987"
Agamidae,Ctenophorus reticulatus,20.9,35.5,24.4,oct_apr,-27.0,1.47,0.88,-0.38,female SVL,no,Diurnal,earth,Omnivorous,Oviparous,NE,NE,35.5,"Light et al. 1966, Huey and Pianka 2007, Pianka 1986, Greer 1989, Heatwole and Taylor 1987, Curry-Lindahl 1979, Licht et al. 1966"
Agamidae,Ctenophorus scutulatus,20.1,38.9,23.4,oct_apr,-28.0,1.56,1.16,-0.19,female SVL,no,Diurnal,air,Carnivorous,Oviparous,NE,NE,38.9,"Huey and Pianka 2007, Pianka 1986, Greer 1989, Heatwole and Taylor 1987"
Agamidae,Ctenophorus vadnappa,17.9,37.2,22.5,oct_apr,-31.0,1.23,1.16,NA,mean species SVL,no,Diurnal,air,Carnivorous,Oviparous,NE,NE,37.2,Greer 1989
Agamidae,Diporiphora bilineata,25.1,44.3,25.1,all,-16.0,0.90,0.56,NA,female SVL,no,Diurnal,air,Carnivorous,Oviparous,NE,NE,44.3,"Bradshaw and Main 1968, Heatwole and Taylor 1987"
Agamidae,Diporiphora winneckei,22.9,35.3,28.9,oct_apr,-25.0,0.90,0.80,-0.71,female SVL,no,Diurnal,air,Omnivorous,Oviparous,NE,NE,35.3,"Pianka 1986, Melville and Schulte 2001, Greer 1989, Heatwole and Taylor 1987"
Agamidae,Draco volans,23.9,29.3,23.9,all,-2.0,1.32,1.04,-0.40,female SVL,no,Diurnal,air,Carnivorous,Oviparous,NE,NE,29.3,"Avery 1982, Alcala 1966"
Agamidae,Gonocephalus liogaster,26.2,25.7,26.2,all,3.0,1.87,1.54,-0.09,female SVL,no,Diurnal,air,Carnivorous,Oviparous,NE,NE,25.7,"Inger 1959, Brattstrom 1965"
Agamidae,Hypsilurus spinipes,16.3,19.0,19.5,oct_apr,-31.0,1.73,1.58,-0.11,female SVL,no,Diurnal,air,Carnivorous,Oviparous,NE,NE,19.0,Rummery et al. 1995
Agamidae,Istiurus lesueurii,18.5,29.4,21.5,oct_apr,-27.0,2.78,2.31,0.42,female SVL,no,Diurnal,water,Omnivorous,Oviparous,NE,NE,29.4,Heatwole and Taylor 1987
Agamidae,Japalura polygonata,20.8,29.5,23.0,mar_sep,24.0,1.08,0.63,NA,female SVL,yes,Diurnal,air,Carnivorous,Oviparous,NE,NE,29.5,"Tanaka 1986, Rummery et al. 1995"
Agamidae,Laudakia caucasia,14.7,29.0,20.1,mar_sep,35.0,1.97,1.53,0.13,female SVL,no,Diurnal,air,Omnivorous,Oviparous,NE,NE,29.0,Arakelyan et al. 2011
Agamidae,Laudakia nupta,19.44,27.2,24.3,mar_sep,30.0,2.10,1.81,0.28,female SVL,no,Diurnal,air,Herbivorous,Oviparous,NE,NE,27.2,Anderson 1963
Agamidae,Laudakia stellio,15.8,33.8,19.9,mar_sep,35.0,2.77,1.45,-0.15,female SVL,no,Diurnal,air,Omnivorous,Oviparous,NE,NE,33.8,"Hertz et al. 1983, Hertz and Nevo 1981, Meiri, own data"
Agamidae,Lophognathus gilberti,24.3,33.7,24.3,all,-21.0,1.77,1.11,-0.33,female SVL,no,Diurnal,air,Carnivorous,Oviparous,LC,stable,33.7,Melville and Schlute 2001
